Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
20,0.00000000,0.00000000,0.00000000,-0.09858779,-0.02280271,-0.01469911,-0.23969038,-0.10800281,0.39335245,0.41824651,0.00972964,0.07811753,0.11481959,0.01248549,0.02224907,-0.21644141,-0.02920204,-0.10128233,0.30171618,0.00000000,0.00000000,0.00000000,0,16:49:09.0,0,0
21,0.00000000,0.00000000,0.00000000,-0.19129337,-0.12019069,-0.10213062,-0.35798782,-0.17669499,0.32128730,0.40447664,-0.00562204,0.01116320,0.04847677,-0.05979507,-0.04081296,-0.29227683,-0.09512620,-0.16796768,0.25097537,0.00000000,0.00000000,0.00000000,0,16:49:09.0,0,0
22,0.00000000,0.00000000,0.00000000,-0.20134741,-0.08007236,-0.10168944,-0.33891267,-0.15499668,0.39551401,0.38972586,-0.01975371,0.04821318,0.07862537,0.00651889,0.00123638,-0.25961632,-0.02074181,-0.12846801,0.25739843,0.00000000,0.00000000,0.00000000,0,16:49:09.0,0,0
23,0.00000000,0.00000000,0.00000000,-0.11677733,-0.05383992,-0.08647764,-0.28748679,-0.12972872,0.37133008,0.37489593,-0.01654222,0.05000546,0.08750201,0.01154095,-0.00732644,-0.25890714,-0.02512985,-0.16019544,0.21685952,0.00000000,0.00000000,0.00000000,0,16:49:09.0,0,0
24,0.00000000,0.00000000,0.00000000,-0.13739942,-0.08653229,-0.11407988,-0.29512507,-0.14439867,0.27930880,0.34172773,-0.02555994,0.00262647,0.03752169,-0.03848502,-0.06671157,-0.29001021,-0.07834219,-0.22203492,0.15554783,0.00000000,0.00000000,0.00000000,0,16:49:10.0,0,0
25,0.00000000,0.00000000,0.00000000,-0.06320354,-0.17788841,-0.21145996,-0.35600322,-0.17309815,0.16731502,0.28421488,-0.04125909,-0.05869452,-0.03156718,-0.10386775,-0.13931775,-0.34266841,-0.14385830,-0.34729823,0.00681184,0.00000000,0.00000000,0.00000000,0,16:49:10.0,0,0
26,0.00000000,0.00000000,0.00000000,-0.08179715,-0.23425411,-0.26817402,-0.40158787,-0.18781283,0.16319276,0.27951083,-0.04012777,-0.07299049,-0.02592148,-0.07971717,-0.12960583,-0.33054107,-0.09519415,-0.29891157,0.03517044,0.00000000,0.00000000,0.00000000,0,16:49:10.0,0,0
27,0.00000000,0.00000000,0.00000000,-0.04889411,-0.08148130,-0.16801915,-0.30282813,-0.13091753,0.25206074,0.27072400,-0.05421883,-0.02018819,0.00994543,-0.02363267,-0.09940028,-0.30126023,-0.07518570,-0.28899470,0.04105288,0.00000000,0.00000000,0.00000000,0,16:49:10.0,0,0
28,0.00000000,0.00000000,0.00000000,-0.04757625,-0.09491640,-0.17881557,-0.30532262,-0.14124283,0.22511318,0.24575022,-0.05533561,-0.03791519,-0.00504181,-0.04141839,-0.11646929,-0.31039503,-0.09507579,-0.30410522,0.03645063,0.00000000,0.00000000,0.00000000,0,16:49:10.0,0,0
29,0.00000000,0.00000000,0.00000000,-0.07234475,-0.17858611,-0.23902974,-0.38682660,-0.18888021,0.17698610,0.27369612,-0.04717106,-0.08740467,-0.03624651,-0.09806862,-0.16185021,-0.37345880,-0.14968073,-0.35961190,0.01425232,0.00000000,0.00000000,0.00000000,0,16:49:11.0,0,0
30,0.00000000,0.00000000,0.00000000,0.06786025,-0.29496953,-0.34861130,-0.53980047,-0.25189438,0.20936063,0.43797857,-0.00424697,-0.12680858,-0.07674240,-0.17869042,-0.17032661,-0.49134839,-0.20710489,-0.48366925,-0.02418315,0.00000000,0.00000000,0.00000000,0,16:49:11.0,0,0
31,0.00000000,0.00000000,0.00000000,0.16499154,-0.16999790,-0.27295667,-0.45065141,-0.18833521,0.38685545,0.47695541,0.02201013,-0.01407505,0.02303090,-0.03265222,-0.06759657,-0.36841950,-0.06760353,-0.40317392,-0.00088517,0.00000000,0.00000000,0.00000000,0,16:49:11.0,0,0
32,0.00000000,0.00000000,0.00000000,0.14860532,-0.14706011,-0.27361339,-0.43146977,-0.18419620,0.41439953,0.50850296,0.03206005,-0.00462178,0.05120553,-0.00604173,-0.06724100,-0.36968380,-0.07099630,-0.41091827,0.02083939,0.00000000,0.00000000,0.00000000,0,16:49:11.0,0,0
33,0.00000000,0.00000000,0.00000000,0.16508961,-0.22816157,-0.29695836,-0.48041150,-0.20777072,0.34312904,0.53598005,0.05294953,-0.04868199,0.02408637,-0.05352692,-0.12121101,-0.41358501,-0.12207478,-0.45391315,0.00493576,0.00000000,0.00000000,0.00000000,0,16:49:11.0,0,0
34,0.00000000,0.00000000,0.00000000,0.08722388,-0.32480821,-0.38947025,-0.54038936,-0.23994888,0.25494373,0.56193006,0.08947081,-0.10690894,-0.00653850,-0.11070670,-0.18150781,-0.48246837,-0.18465146,-0.50564641,-0.00633015,0.00000000,0.00000000,0.00000000,0,16:49:12.0,0,0
35,0.00000000,0.00000000,0.00000000,0.10105735,-0.44836760,-0.48004141,-0.63911140,-0.28524709,0.20964000,0.61994749,0.09758851,-0.15049605,-0.03737975,-0.14070466,-0.20003609,-0.51903903,-0.16350284,-0.51334000,-0.02716858,0.00000000,0.00000000,0.00000000,0,16:49:12.0,0,0
36,0.00000000,0.00000000,0.00000000,0.18230185,-0.22601250,-0.31353822,-0.48318917,-0.18323225,0.43689570,0.62572062,0.10554533,-0.01771489,0.07984588,0.00990239,-0.09674673,-0.42752525,-0.08185408,-0.45414078,0.01338044,0.00000000,0.00000000,0.00000000,0,16:49:12.0,0,0
37,0.00000000,0.00000000,0.00000000,0.22090335,-0.22355339,-0.29642364,-0.45661533,-0.16826189,0.42132789,0.64824450,0.13431695,-0.01879431,0.09217314,0.00822050,-0.10083387,-0.42456961,-0.09030679,-0.46568704,0.01612376,0.00000000,0.00000000,0.00000000,0,16:49:12.0,0,0
38,0.00000000,0.00000000,0.00000000,0.16844475,-0.29638094,-0.33833247,-0.48429817,-0.19837056,0.32521355,0.63378072,0.14276917,-0.07214825,0.04946724,-0.04586287,-0.15310545,-0.45456779,-0.12872905,-0.50814217,-0.01249531,0.00000000,0.00000000,0.00000000,0,16:49:12.0,0,0
39,0.00000000,0.00000000,0.00000000,0.11255290,-0.36919495,-0.38181305,-0.53512043,-0.23475137,0.23778573,0.62744194,0.13897139,-0.12948835,-0.00507403,-0.11075039,-0.20597403,-0.49527115,-0.18080178,-0.55215967,-0.04500233,0.00000000,0.00000000,0.00000000,0,16:49:13.0,0,0
40,0.00000000,0.00000000,0.00000000,0.10189886,-0.31714630,-0.35762745,-0.51384979,-0.21391571,0.35653841,0.63584101,0.14346883,-0.07072644,0.06028941,-0.02388820,-0.13639244,-0.44634485,-0.08723313,-0.48765811,-0.01940272,0.00000000,0.00000000,0.00000000,0,16:49:13.0,0,0
41,0.00000000,0.00000000,0.00000000,0.19089031,-0.19426376,-0.25178805,-0.41016144,-0.15575749,0.45414671,0.66674411,0.15683675,-0.00853055,0.11698113,0.03343759,-0.08686174,-0.40641111,-0.04909514,-0.46200144,0.00295378,0.00000000,0.00000000,0.00000000,0,16:49:13.0,0,0
42,0.00000000,0.00000000,0.00000000,0.18058373,-0.20199054,-0.25039899,-0.41296333,-0.16100527,0.42386711,0.63042420,0.16125590,-0.02157015,0.10146391,0.01192732,-0.10261611,-0.41343504,-0.06982012,-0.47460482,0.00074444,0.00000000,0.00000000,0.00000000,0,16:49:13.0,0,0
43,0.00000000,0.00000000,0.00000000,0.15108454,-0.28019130,-0.30330527,-0.44682616,-0.18315242,0.31361467,0.59419632,0.16415462,-0.07343434,0.04784855,-0.05287891,-0.15275945,-0.44036397,-0.12016477,-0.50465173,-0.02137922,0.00000000,0.00000000,0.00000000,0,16:49:13.0,0,0
44,0.00000000,0.00000000,0.00000000,0.12793720,-0.38446659,-0.36720595,-0.50348383,-0.22142409,0.18537742,0.59525317,0.17242509,-0.14249003,-0.01328601,-0.13006128,-0.21599226,-0.48582855,-0.18418425,-0.55331784,-0.05831462,0.00000000,0.00000000,0.00000000,0,16:49:14.0,0,0
45,0.00000000,0.00000000,0.00000000,0.11641026,-0.36144859,-0.36295962,-0.50200903,-0.21068691,0.27633882,0.59350407,0.16898677,-0.09818174,0.04264361,-0.04779592,-0.14954209,-0.43377993,-0.09630130,-0.49630815,-0.03395247,0.00000000,0.00000000,0.00000000,0,16:49:14.0,0,0
46,0.00000000,0.00000000,0.00000000,0.19895901,-0.19484496,-0.23602320,-0.36163896,-0.13173547,0.39549559,0.59156120,0.17257087,-0.01554838,0.10863489,0.02591346,-0.09010983,-0.37832817,-0.05161156,-0.46546939,-0.00965260,0.00000000,0.00000000,0.00000000,0,16:49:14.0,0,0
47,0.00000000,0.00000000,0.00000000,0.20193160,-0.20241226,-0.23759666,-0.35457596,-0.13164693,0.36210012,0.57181692,0.17342605,-0.03031507,0.09587751,0.00824136,-0.10898846,-0.38391787,-0.07208306,-0.48151749,-0.01830928,0.00000000,0.00000000,0.00000000,0,16:49:14.0,0,0
48,0.00000000,0.00000000,0.00000000,0.18008289,-0.28330332,-0.28533617,-0.40989989,-0.16675118,0.26959759,0.56194961,0.17150348,-0.08694529,0.04292333,-0.05321227,-0.16127548,-0.42195505,-0.12263796,-0.52242589,-0.04412358,0.00000000,0.00000000,0.00000000,0,16:49:14.0,0,0
49,0.00000000,0.00000000,0.00000000,0.13155821,-0.37417775,-0.35686380,-0.46416828,-0.20827202,0.14128628,0.53231084,0.16227630,-0.15839554,-0.02682010,-0.13053392,-0.22405303,-0.47259539,-0.18434414,-0.57421160,-0.08403394,0.00000000,0.00000000,0.00000000,0,16:49:15.0,0,0
50,0.00000000,0.00000000,0.00000000,0.09299376,-0.37906396,-0.38282663,-0.48422310,-0.21657865,0.18975466,0.52423084,0.15397102,-0.13716088,0.00932402,-0.07054605,-0.17572996,-0.43114722,-0.11307733,-0.53910559,-0.06960972,0.00000000,0.00000000,0.00000000,0,16:49:15.0,0,0
51,0.00000000,0.00000000,0.00000000,0.17685643,-0.21843299,-0.26040542,-0.35834494,-0.14441177,0.28782842,0.53997052,0.16142395,-0.07536792,0.06585925,-0.01092296,-0.13430239,-0.39585778,-0.08158688,-0.53332251,-0.05637763,0.00000000,0.00000000,0.00000000,0,16:49:15.0,0,0
52,0.00000000,0.00000000,0.00000000,0.18533291,-0.22849318,-0.26254690,-0.36163318,-0.15223992,0.26516771,0.52671027,0.14957196,-0.08915144,0.04591688,-0.03194082,-0.15399145,-0.40642861,-0.10410792,-0.55232310,-0.06555557,0.00000000,0.00000000,0.00000000,0,16:49:15.0,0,0
53,0.00000000,0.00000000,0.00000000,0.17167106,-0.30884567,-0.31468785,-0.42244720,-0.18554673,0.18796098,0.53990316,0.15773162,-0.14461528,0.00116182,-0.09004097,-0.20811547,-0.45615733,-0.15517449,-0.59803575,-0.09512559,0.00000000,0.00000000,0.00000000,0,16:49:15.0,0,0
54,0.00000000,0.00000000,0.00000000,0.10224200,-0.39530876,-0.39015883,-0.48314467,-0.23332834,0.07635165,0.51508600,0.13802463,-0.20923375,-0.06618394,-0.16637850,-0.26937774,-0.51014614,-0.21631339,-0.64940703,-0.13446745,0.00000000,0.00000000,0.00000000,0,16:49:16.0,0,0
55,0.00000000,0.00000000,0.00000000,0.07637588,-0.39080489,-0.40020311,-0.50075150,-0.23699415,0.15389489,0.50144351,0.12651519,-0.17648038,-0.02277950,-0.09471768,-0.20782880,-0.46550637,-0.13750376,-0.60662919,-0.12260568,0.00000000,0.00000000,0.00000000,0,16:49:16.0,0,0
56,0.00000000,0.00000000,0.00000000,0.14874920,-0.21342096,-0.27037132,-0.36065489,-0.15797201,0.27761802,0.50660872,0.13140784,-0.08995472,0.04225537,-0.02028807,-0.15463041,-0.41496933,-0.09533548,-0.58370745,-0.10603824,0.00000000,0.00000000,0.00000000,0,16:49:16.0,0,0
57,0.00000000,0.00000000,0.00000000,0.15741503,-0.21737012,-0.27044767,-0.35090026,-0.16042572,0.25546727,0.48957792,0.12062369,-0.09743401,0.02506537,-0.03844927,-0.16790664,-0.41847271,-0.11496113,-0.59510690,-0.10700250,0.00000000,0.00000000,0.00000000,0,16:49:16.0,0,0
58,0.00000000,0.00000000,0.00000000,0.11420780,-0.28829044,-0.32529658,-0.40167165,-0.19438274,0.17298257,0.47213957,0.11789531,-0.15133211,-0.02468071,-0.09789784,-0.21780996,-0.45619786,-0.16212693,-0.62789363,-0.13087220,0.00000000,0.00000000,0.00000000,0,16:49:16.0,0,0
59,0.00000000,0.00000000,0.00000000,0.08275509,-0.37918252,-0.39391556,-0.46286327,-0.23627365,0.05466456,0.45966488,0.11307505,-0.21417354,-0.08452353,-0.17157729,-0.27809733,-0.50606924,-0.22476038,-0.67045718,-0.16588962,0.00000000,0.00000000,0.00000000,0,16:49:17.0,0,0
60,0.00000000,0.00000000,0.00000000,0.04008669,-0.47230697,-0.46702400,-0.53902513,-0.28653619,0.01308002,0.46108013,0.10831405,-0.24968055,-0.10368289,-0.18999106,-0.27859041,-0.51642275,-0.19765291,-0.66335082,-0.17369521,0.00000000,0.00000000,0.00000000,0,16:49:17.0,0,0
61,0.00000000,0.00000000,0.00000000,0.13844803,-0.23706941,-0.29290378,-0.37251031,-0.17719568,0.24798778,0.46958086,0.11156288,-0.10831417,0.01759046,-0.03873723,-0.17924592,-0.42781699,-0.11828304,-0.60944903,-0.13776115,0.00000000,0.00000000,0.00000000,0,16:49:17.0,0,0
62,0.00000000,0.00000000,0.00000000,0.15407538,-0.22478586,-0.28152829,-0.35773331,-0.17366394,0.25158635,0.47647816,0.11286145,-0.10533119,0.01507911,-0.04506949,-0.18170878,-0.43207693,-0.12919727,-0.62117851,-0.14124253,0.00000000,0.00000000,0.00000000,0,16:49:17.0,0,0
63,0.00000000,0.00000000,0.00000000,0.12755129,-0.29684040,-0.32917610,-0.41002989,-0.20519151,0.17432591,0.48051322,0.11807474,-0.15500122,-0.02839242,-0.10193383,-0.22714828,-0.47088349,-0.17421091,-0.65392554,-0.16015640,0.00000000,0.00000000,0.00000000,0,16:49:17.0,0,0
64,0.00000000,0.00000000,0.00000000,0.13866904,-0.38018605,-0.37519747,-0.47788760,-0.24436232,0.10045427,0.49106327,0.11679481,-0.19701499,-0.07062604,-0.15814553,-0.27227628,-0.52363509,-0.22086698,-0.69713771,-0.18900572,0.00000000,0.00000000,0.00000000,0,16:49:18.0,0,0
65,0.00000000,0.00000000,0.00000000,0.06780867,-0.45414484,-0.44502115,-0.56368864,-0.30293497,0.05698115,0.50451106,0.09370342,-0.24690421,-0.12055269,-0.21342723,-0.29044133,-0.58146614,-0.23567230,-0.71879470,-0.20256296,0.00000000,0.00000000,0.00000000,0,16:49:18.0,0,0
66,0.00000000,0.00000000,0.00000000,0.14011282,-0.26738816,-0.31771457,-0.46586969,-0.23667289,0.29071003,0.51705122,0.08013808,-0.11551534,-0.00411558,-0.05856105,-0.16728115,-0.48426956,-0.12727040,-0.64691859,-0.16844462,0.00000000,0.00000000,0.00000000,0,16:49:18.0,0,0
