Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
20,0.00000000,0.00000000,0.00000000,-0.12694238,-0.16031401,-0.02981479,-0.07650359,-0.01112197,0.04469242,-0.13049690,-0.12954296,-0.13455200,-0.04552453,-0.05922956,-0.07468205,-0.11532760,-0.24635503,-0.00665017,-0.06101615,0.00000000,0.00000000,0.00000000,0,16:49:42.0,0,0
21,0.00000000,0.00000000,0.00000000,-0.14579323,-0.25170279,-0.03860211,-0.08586030,-0.08580713,0.04426550,-0.13102129,-0.12006224,-0.14196682,-0.05559575,-0.10921524,-0.08295421,-0.12934411,-0.31337360,-0.01197285,-0.06882224,0.00000000,0.00000000,0.00000000,0,16:49:42.0,0,0
22,0.00000000,0.00000000,0.00000000,-0.16884032,-0.34861913,-0.04829296,-0.10015792,-0.16433956,0.03958861,-0.13354471,-0.13120243,-0.14018117,-0.07491594,-0.16902444,-0.08401954,-0.15687713,-0.37364310,-0.03935979,-0.09155884,0.00000000,0.00000000,0.00000000,0,16:49:42.0,0,0
23,0.00000000,0.00000000,0.00000000,-0.12296868,-0.16120775,-0.03759142,-0.07991813,-0.03034011,0.02058846,-0.11978097,-0.14220355,-0.11458507,-0.06470006,-0.05144463,-0.03638121,-0.10317213,-0.19759838,-0.01914709,-0.08132400,0.00000000,0.00000000,0.00000000,0,16:49:42.0,0,0
24,0.00000000,0.00000000,0.00000000,-0.11334117,-0.15998463,-0.02703100,-0.05708890,-0.00978434,0.01901008,-0.10604495,-0.10571822,-0.10512242,-0.05215776,-0.05071346,-0.03508684,-0.09799712,-0.21694323,-0.01465108,-0.07483410,0.00000000,0.00000000,0.00000000,0,16:49:42.0,0,0
25,0.00000000,0.00000000,0.00000000,-0.11398202,-0.20251921,-0.02583749,-0.05422634,-0.04123357,0.01363531,-0.10904520,-0.09940188,-0.11322933,-0.05635951,-0.08062381,-0.03853659,-0.11248063,-0.26107523,-0.02196146,-0.07747751,0.00000000,0.00000000,0.00000000,0,16:49:43.0,0,0
26,0.00000000,0.00000000,0.00000000,-0.13800943,-0.28246507,-0.03739987,-0.07812107,-0.10587071,0.01843651,-0.12079031,-0.11744127,-0.11456946,-0.06935529,-0.12390043,-0.05009517,-0.13556136,-0.31252620,-0.02832561,-0.08425710,0.00000000,0.00000000,0.00000000,0,16:49:43.0,0,0
27,0.00000000,0.00000000,0.00000000,-0.16778903,-0.32484701,-0.04767518,-0.08091604,-0.14606725,0.02858833,-0.11481638,-0.13123244,-0.12597331,-0.07127896,-0.11456747,-0.04950610,-0.12067534,-0.21759447,-0.02899224,-0.10775194,0.00000000,0.00000000,0.00000000,0,16:49:43.0,0,0
28,0.00000000,0.00000000,0.00000000,-0.09753807,-0.12851332,-0.01810134,-0.04797695,0.02059777,0.02307490,-0.10530619,-0.10685440,-0.09554742,-0.05262446,-0.02825899,-0.04602409,-0.08801034,-0.19792899,-0.01459348,-0.07638723,0.00000000,0.00000000,0.00000000,0,16:49:43.0,0,0
29,0.00000000,0.00000000,0.00000000,-0.10144594,-0.15712598,-0.02000186,-0.05179992,0.00129509,0.01685210,-0.12013657,-0.09402588,-0.12085091,-0.05073280,-0.04329354,-0.03886024,-0.09420384,-0.22177908,-0.01550461,-0.07707582,0.00000000,0.00000000,0.00000000,0,16:49:43.0,0,0
