Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.04809146,0.00283550,-0.04059405,-0.00219513,-0.02408478,0.03857874,-0.05954422,-0.02047648,0.01896490,-0.02706165,-0.06395038,0.20726739,0.08383197,-0.00000000,-0.02409497,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:40.0,0,0
2,0.00000000,0.00000000,0.00000000,2.91052675,0.29885337,1.83811879,1.91479242,-1.14801204,-0.55487043,3.52767611,0.34468436,1.93514729,1.97570360,-1.23327529,1.86731136,-0.45194027,-0.00000000,1.87639201,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:40.0,0,0
3,0.00000000,0.00000000,0.00000000,0.04572417,-0.76222557,-0.81975299,-1.91058755,0.11792687,-1.13207185,-1.88340044,-0.20295197,0.43917784,-2.07963777,0.51945484,-2.44116974,-2.15184760,-0.00000000,-4.15087605,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:40.0,0,0
4,0.00000000,0.00000000,0.00000000,0.18199350,-0.44400203,0.15397096,-0.75521111,-0.08653868,-0.87186778,-0.57146555,-0.22938155,-0.10835817,-1.21909595,-0.02991519,-1.08252764,-1.37471139,-0.00000000,-1.58805108,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:41.0,0,0
5,0.00000000,0.00000000,0.00000000,0.14204209,-0.42723373,0.09571540,-0.63816375,-0.08348338,-0.75220692,-0.44309258,-0.19093767,-0.42071694,-0.91270900,-0.03852541,-0.62583405,-1.17655778,-0.00000000,-1.54783702,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:41.0,0,0
6,0.00000000,0.00000000,0.00000000,0.08835681,-0.44238389,0.12426189,-0.66758114,-0.12423774,-0.77332640,-0.48965400,-0.23225169,-0.86894262,-0.90559256,-0.07650671,-0.61558998,-1.18980396,-0.00000000,-1.53642726,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:41.0,0,0
7,0.00000000,0.00000000,0.00000000,0.12432181,-0.43758309,0.13866545,-0.64138103,-0.04166607,-0.74335760,-0.52042985,-0.15824799,-0.20410927,-0.72437721,0.01602177,-0.89364177,-1.13696909,-0.00000000,-1.52029872,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:41.0,0,0
8,0.00000000,0.00000000,0.00000000,0.12250402,-0.39357734,0.19557977,-0.56624347,-0.01559068,-0.70154554,-0.45797151,-0.12803859,-0.14066806,-0.63218945,0.02790346,-0.77946061,-1.06439471,-0.00000000,-1.49001348,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:41.0,0,0
9,0.00000000,0.00000000,0.00000000,0.07603323,-0.39847532,0.21693218,-0.54479581,-0.03579190,-0.69599926,-0.47376058,-0.14127919,-0.50127959,-0.62905008,-0.00563982,-0.48126832,-1.04097581,-0.00000000,-1.37299573,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:42.0,0,0
10,0.00000000,0.00000000,0.00000000,0.08169257,-0.37804681,0.23186257,-0.48386639,-0.05354271,-0.63826191,-0.51538193,-0.15923230,-1.00214958,-0.45169467,-0.03844337,-0.40514365,-0.96905696,-0.00000000,-0.80391043,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:42.0,0,0
11,0.00000000,0.00000000,0.00000000,0.00851451,-0.38744342,0.21680783,-0.47140208,0.02512746,-0.64412946,-0.54812205,-0.12550995,-1.05838478,-0.36767584,0.03830911,-0.66197133,-0.96837360,-0.00000000,-0.55456614,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:42.0,0,0
12,0.00000000,0.00000000,0.00000000,0.12709567,-0.26810738,0.26809406,-0.32116815,0.05994179,-0.51121044,-0.50678706,-0.09038828,-1.44968796,-0.24518152,0.03162432,-0.71315801,-0.78881299,-0.00000000,-0.21864386,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:42.0,0,0
13,0.00000000,0.00000000,0.00000000,0.01628098,-0.32973665,0.23997311,-0.32513499,0.02840938,-0.52564955,-0.52277601,-0.10488634,-1.29774225,-0.33999419,-0.01362297,-0.62345368,-0.79736477,-0.00000000,0.05086662,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:42.0,0,0
14,0.00000000,0.00000000,0.00000000,-0.05198653,-0.35616153,0.23810789,-0.31233528,-0.00478332,-0.52406096,-0.52215272,-0.13139822,-1.10086858,-0.28549221,-0.02125487,-0.52622694,-0.77923739,-0.00000000,0.26668680,-0.00000000,0.00000000,0.00000000,0.00000000,0,17:59:43.0,0,0
