CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
5.6061883,1.22859812,0.41137856,0.70768535,1.32776415,0.60969645,0.59208155,1.04413176,0.47716755,0.85077417,1.97886395,0.81413203,0.50029117,2.14468455,1.34526157,0.03283626
5.51604176,1.19869697,0.42000657,0.72612131,1.29398489,0.60349929,0.58438063,1.0306803,0.46378675,0.84702724,1.93576515,0.81019276,0.50215995,2.09634256,1.32876873,0.03303364
5.64380646,1.15864015,0.38885051,0.71158344,1.24197555,0.58786988,0.58563548,1.01961362,0.46993136,0.83985251,1.90424597,0.82568967,0.50692934,2.05364275,1.3416115,0.0172521
5.80771685,1.25570512,0.40418223,0.70604771,1.35389805,0.60119939,0.59086645,1.0432924,0.45289364,0.84588927,1.98062503,0.82196903,0.50061661,2.18076754,1.33496797,0.03035678
5.6061883,1.24950969,0.40960076,0.72182667,1.34599113,0.62133104,0.6046946,1.0539633,0.45686549,0.85201442,1.98013127,0.83683288,0.49670473,2.14750743,1.33323336,0.0194839
5.7579217,1.21045446,0.41628149,0.74470538,1.30130708,0.59385723,0.60148191,1.04630554,0.45567727,0.84549361,1.93606734,0.78322154,0.51002908,2.09583235,1.34118962,0.01852998
5.68702555,1.16714966,0.40426242,0.7341634,1.24628901,0.60574478,0.60044324,1.02899981,0.455964,0.83994335,1.89492357,0.85972917,0.50437534,2.04540062,1.32800722,0.00684129
5.82721758,1.26402032,0.43056807,0.71710306,1.35887945,0.59035057,0.60589087,1.05676472,0.45063293,0.86435622,1.98736811,0.85120833,0.50441885,2.18261409,1.32842183,0.0192411
5.95695972,1.26087248,0.41521558,0.75231332,1.35521805,0.61819583,0.62885052,1.07701814,0.47279531,0.85998458,1.98476112,0.83117765,0.50881529,2.18749166,1.35315132,-0.00921942
5.4976449,1.21716714,0.40854633,0.73938411,1.30339062,0.59041464,0.60459244,1.06518793,0.46686053,0.85492802,1.95678782,0.83985686,0.49650598,2.11571217,1.33933997,0.00256544
5.70055914,1.18680274,0.40580431,0.73485446,1.25911641,0.56308657,0.60161948,1.04025388,0.44967553,0.84898484,1.90910232,0.82295573,0.50563616,2.06457114,1.32215977,-0.00039079
5.64380646,1.27282357,0.40916562,0.6948204,1.35127997,0.57101077,0.60143983,1.06389511,0.44871601,0.85948479,1.99202013,0.82058388,0.4889721,2.19487882,1.3478837,0.01357351
5.78828716,1.27390873,0.42782429,0.74549973,1.3562113,0.56608534,0.61047488,1.0692147,0.47865605,0.85201442,1.9887898,0.79098451,0.49463871,2.18128872,1.3273344,0.01382998
5.83836746,1.23175311,0.42633015,0.74207819,1.31250882,0.55042404,0.61541951,1.0692147,0.4560422,0.85392988,1.96591902,0.82219779,0.49987507,2.12740278,1.34207273,0.00413683
5.7745285,1.20108521,0.4167988,0.7328546,1.26675665,0.56433243,0.60257274,1.04442167,0.45465329,0.85077125,1.92122507,0.82198441,0.49520233,2.08948922,1.32467031,0.01159883
5.7060895,1.23108888,0.41931492,0.68999541,1.27784538,0.56658995,0.60057819,1.04911661,0.44670451,0.84844911,1.96458018,0.82544267,0.47974485,2.19435382,1.33462107,0.0067547
5.90297985,1.26405406,0.41230538,0.72324359,1.34663796,0.57885367,0.59919411,1.05755579,0.47919637,0.85639656,1.98084617,0.85594124,0.49463871,2.18175149,1.35770333,0.0107042
5.7939086,1.2381233,0.41804597,0.72764361,1.30817032,0.56234366,0.60828555,1.05628181,0.47669113,0.85764283,1.96544802,0.84151691,0.50054502,2.13628769,1.34158325,0.01399461
5.98848343,1.19584203,0.41995114,0.73654163,1.25220323,0.56849825,0.60304087,1.04371345,0.46965989,0.84878969,1.9227879,0.83623201,0.50280464,2.10464931,1.35162461,0.01635441
