CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
0.86565012,0.22139266,-0.08794604,0.23264763,0.06895904,0.19559577,0.44001627,0.44394994,0.2362649,0.48614794,0.38992289,0.36067745,-0.1626045,0.35094374,0.88746601,-0.26176476
0.76554555,0.21208519,-0.05670242,0.27948457,0.04104566,0.19517073,0.44758335,0.43456113,0.22764064,0.47134313,0.36877254,0.31324258,-0.15779336,0.30688244,0.88517338,-0.27341017
0.80560392,0.15915653,-0.08592823,0.20465322,0.00231184,0.16729474,0.44243598,0.39846557,0.18304566,0.46773896,0.33836323,0.36014158,-0.15134476,0.29324362,0.89914376,-0.2645714
0.81322443,0.23391467,-0.08424511,0.20538825,0.08395571,0.19301574,0.44665912,0.43500549,0.23159337,0.48886448,0.40342668,0.36850882,-0.12079643,0.3968108,0.91128927,-0.25162315
0.86896169,0.24587962,-0.03161637,0.25104797,0.09826598,0.19640428,0.4628461,0.45048058,0.21717726,0.51050699,0.43570286,0.40550846,-0.12425876,0.40830302,0.92339844,-0.23647121
0.85579884,0.2262383,-0.01504224,0.29153126,0.07875228,0.20256817,0.49539459,0.45317543,0.23823799,0.51880378,0.42902783,0.48260957,-0.0616822,0.4003084,0.93051296,-0.24560478
0.92973018,0.19402866,-0.01380101,0.29557842,0.04221367,0.23633699,0.45529446,0.42408884,0.22645356,0.50787348,0.41123009,0.48511639,-0.0533287,0.39719912,0.91807616,-0.2227907
0.88880384,0.28618047,0.00424657,0.30404332,0.15563607,0.27527902,0.45972958,0.48357829,0.19530509,0.51824027,0.52571142,0.45326629,6.973e-05,0.49687436,0.89667171,-0.22840171
0.91416436,0.31504229,0.04885812,0.35295126,0.17687626,0.33527637,0.47012976,0.5233413,0.21485552,0.54173249,0.57373148,0.4788208,0.08971155,0.52113795,0.90139794,-0.20574346
0.84811723,0.29233697,0.09389273,0.43552244,0.14801162,0.36530915,0.46604952,0.52625668,0.27790281,0.57077456,0.57016623,0.54474074,0.15704729,0.52205008,0.92239475,-0.1972332
0.88880384,0.26776242,0.08078577,0.41492718,0.11507451,0.36371148,0.45611757,0.51062328,0.25021845,0.54638207,0.56192344,0.48285696,0.12899023,0.57093203,0.89054132,-0.1944138
0.89647138,0.38054872,0.07823434,0.39615092,0.26297334,0.35738984,0.46080443,0.54960376,0.22400586,0.56495398,0.67319167,0.4917362,0.14481701,0.63731784,0.92723083,-0.19020538
0.89871603,0.38106257,0.07232431,0.42585248,0.2743966,0.39463386,0.46292427,0.56738621,0.24808086,0.57194912,0.68526238,0.49654844,0.1687232,0.63617623,0.92205507,-0.19028319
0.84044719,0.35575292,0.09039661,0.46649039,0.24390735,0.40077528,0.46875387,0.58062732,0.24655277,0.58336341,0.67079538,0.54554152,0.17981766,0.61286789,0.92849052,-0.19742322
0.82078391,0.31558052,0.08639701,0.446982,0.20414859,0.40351209,0.46923247,0.56305921,0.24781263,0.58463001,0.65804893,0.50975269,0.17458151,0.66179222,0.92667598,-0.19029678
0.84374315,0.44697088,0.09048211,0.45701268,0.35941195,0.4248051,0.47801164,0.61811221,0.24476318,0.59318739,0.7695002,0.51971763,0.18453117,0.75697792,0.92424852,-0.18854864
0.79799432,0.46070829,0.10649696,0.49471819,0.37752274,0.40728098,0.49068937,0.6429143,0.24956419,0.59420347,0.78520608,0.51750743,0.20925394,0.73999679,0.92958701,-0.19261175
0.86349142,0.45515195,0.1210019,0.54109865,0.34770066,0.43728605,0.48788601,0.64722782,0.23563141,0.60074097,0.77053839,0.52816397,0.1917976,0.69708723,0.92432785,-0.19720773
0.83393216,0.41195759,0.11999264,0.5257315,0.31003645,0.45542452,0.48990506,0.63985491,0.25088292,0.6053986,0.75652438,0.55086428,0.22364692,0.69554573,0.93246889,-0.19154003
0.91198593,0.51659936,0.12596849,0.53109676,0.42736009,0.44291174,0.49394858,0.6726765,0.2639342,0.61415905,0.84663278,0.55468667,0.25183541,0.83306086,0.93625939,-0.17213623
0.88432389,0.54059637,0.11660634,0.57326686,0.45049223,0.43096286,0.51259297,0.68777925,0.2834644,0.62456822,0.87232524,0.48862407,0.26413113,0.82117873,0.93186748,-0.16847149
0.85910475,0.50955904,0.12293694,0.56437737,0.42666167,0.41321599,0.52108449,0.69492483,0.32241249,0.65525109,0.87842721,0.56180394,0.33112845,0.82941443,0.95245576,-0.17035893
0.81864333,0.46969607,0.12421865,0.5581798,0.38569394,0.43382564,0.51689541,0.67447394,0.32984152,0.65648538,0.85379416,0.55638176,0.309264,0.80201149,0.96261495,-0.16287182
0.82299685,0.55552793,0.12687871,0.53557724,0.47920939,0.446982,0.52113187,0.70020789,0.33851904,0.65728241,0.92991412,0.57569671,0.30418938,0.90738028,0.94717997,-0.16868292
