Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.06563641,0.14872193,0.29861838,0.31736910,0.04669655,0.10540619,0.26114500,0.13085473,0.51505107,0.12193013,0.07539556,0.13728358,0.14196540,0.12662114,0.02367955,0.01339607,0.00000000,0.00000000,0.00000000,0,15:58:06.0,0,0
2,0.00000000,0.00000000,0.00000000,0.12261663,0.15386084,0.30021289,0.36310694,0.05839742,0.14336598,0.29109937,0.17138325,0.46863124,0.16099131,0.08955587,0.12784714,0.12700483,0.19642027,0.04932356,0.08426924,0.00000000,0.00000000,0.00000000,0,15:58:06.0,0,0
3,0.00000000,0.00000000,0.00000000,0.08928849,0.14428833,0.34415093,0.37940833,0.03578985,0.17022508,0.29172775,0.20300192,0.36267635,0.18385676,0.11265483,0.13748591,0.11375286,0.20338784,0.05308670,0.04900027,0.00000000,0.00000000,0.00000000,0,15:58:06.0,0,0
4,0.00000000,0.00000000,0.00000000,0.21806608,0.24161969,0.30917141,0.50826317,-0.12067471,-0.03072418,0.15379941,0.14495265,0.77131420,-0.52176023,0.15971641,1.26487100,2.55098891,1.33943093,-0.12425083,0.01072594,0.00000000,0.00000000,0.00000000,0,15:58:07.0,0,0
5,0.00000000,0.00000000,0.00000000,0.11592171,0.21938872,-0.69687986,1.90911984,-0.47455901,-1.91983759,1.65566003,0.54493600,-1.67084968,0.12456774,-0.01737549,2.48755503,4.04970598,1.58802950,0.17581157,0.10890284,0.00000000,0.00000000,0.00000000,0,15:58:07.0,0,0
6,0.00000000,0.00000000,0.00000000,0.13986140,0.25975734,-0.42472276,1.48570967,-0.23294224,-1.15524650,1.63265777,0.65012211,-0.51364899,0.59875655,0.36949638,1.98539412,1.97102618,1.12134433,0.28563690,0.47061333,0.00000000,0.00000000,0.00000000,0,15:58:07.0,0,0
7,0.00000000,0.00000000,0.00000000,0.04202708,0.23128082,-0.00960316,0.96903396,-0.03848838,0.35820556,1.08912683,0.51902163,0.35502955,0.75374156,0.47083390,1.51038325,0.57344151,0.61739397,0.99940318,0.08275738,0.00000000,0.00000000,0.00000000,0,15:58:07.0,0,0
8,0.00000000,0.00000000,0.00000000,0.13126326,0.16209155,-0.19321561,0.80188346,-0.11319884,-0.01315245,1.18275750,0.53033286,0.55266672,0.70502168,0.51313698,1.49935484,0.97249568,0.68351549,0.72582227,0.19870059,0.00000000,0.00000000,0.00000000,0,15:58:07.0,0,0
9,0.00000000,0.00000000,0.00000000,0.09121759,0.17261808,-0.04345608,1.01740170,-0.11833655,0.02370531,1.24310124,0.56472230,0.52426404,0.71013987,0.50413281,1.34787178,0.85131353,0.59909660,0.67339385,0.12580383,0.00000000,0.00000000,0.00000000,0,15:58:08.0,0,0
10,0.00000000,0.00000000,0.00000000,0.16384593,0.15339154,-0.14302063,0.82735586,-0.11392663,0.02804811,1.11878741,0.54183072,0.47191140,0.69191980,0.50616294,1.20284414,0.69041860,0.76395202,0.68878174,0.07882555,0.00000000,0.00000000,0.00000000,0,15:58:08.0,0,0
