CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
4.84531403,0.76891512,0.39434052,0.74851328,0.92568922,0.443919,0.59884953,1.00808764,0.45439583,0.81871134,1.64460278,0.80281258,0.47278374,1.83177423,1.2283026,-0.04022078
4.85686779,0.87923968,0.41082421,0.74134028,1.07094979,0.43614209,0.60136098,1.03615654,0.4407635,0.83503735,1.72604859,0.77877396,0.47902662,1.84522521,1.25009024,-0.04974064
4.88479233,0.8702302,0.39414448,0.75912064,1.06109142,0.43776539,0.61588496,1.03009772,0.44684413,0.82683712,1.70483458,0.77116448,0.48923674,1.82162511,1.24299204,-0.03702763
4.96961069,0.80684406,0.39017344,0.75210631,0.99300975,0.44728914,0.60520971,1.0240519,0.44826424,0.82161659,1.67716205,0.82414073,0.48177081,1.769822,1.23463464,-0.03898331
4.84531403,0.78095442,0.39079535,0.76152545,0.94654143,0.43585163,0.5818795,1.00382316,0.43388614,0.81543249,1.63063502,0.82408512,0.4929558,1.71204531,1.24370289,-0.05198358
4.89413309,0.87162024,0.39785358,0.72937804,1.05980992,0.44608873,0.60924065,1.02130771,0.44656706,0.81529236,1.70689237,0.79061896,0.4842878,1.85644364,1.24911559,-0.03303524
4.91532564,0.85727465,0.40763307,0.7501542,1.04835939,0.45010442,0.60831004,1.03746009,0.45564049,0.82741642,1.71924174,0.77835864,0.47751746,1.82745051,1.24168622,-0.04934195
4.91532564,0.84057283,0.39323929,0.76397455,1.01770353,0.4522568,0.60654885,1.01575184,0.45982742,0.82391608,1.67856228,0.82964963,0.49385762,1.78038466,1.24580479,-0.04202165
4.90594769,0.78721327,0.38003719,0.74910885,0.96485943,0.46341878,0.60657734,1.00999391,0.46083874,0.82355666,1.65516913,0.81799144,0.48162112,1.74485207,1.23861015,-0.04410103
4.85230398,0.87206167,0.40040341,0.7127949,1.06053746,0.45697314,0.60131079,1.02872384,0.44396505,0.82969749,1.72539461,0.85901392,0.47825757,1.84847128,1.24677086,-0.04802982
4.792274,0.87088013,0.40329894,0.76329958,1.05771255,0.46249071,0.62378556,1.03097391,0.46181297,0.82471293,1.71551108,0.80641401,0.49150985,1.84106481,1.24357557,-0.03009241
4.98143768,0.82782519,0.39272496,0.75353253,1.01221299,0.435819,0.61737466,1.03286743,0.45380425,0.84140408,1.70090353,0.81670243,0.48553595,1.79151714,1.23849261,-0.0481834
4.89888668,0.801085,0.40376478,0.75162286,0.97169465,0.45770594,0.60201728,1.01125026,0.45968947,0.8245225,1.66820991,0.81499892,0.50259328,1.74105716,1.25098705,-0.05704487
4.87317753,0.89204764,0.41488916,0.72021604,1.0666461,0.46324688,0.61685419,1.03097391,0.46434867,0.83066696,1.72996509,0.81514651,0.48744309,1.87427306,1.23689759,-0.02557247
4.94355917,0.88877147,0.40602008,0.75408262,1.0721525,0.45554653,0.6230163,1.05695581,0.46941608,0.856417,1.7512871,0.85714179,0.50761032,1.86316872,1.25408018,-0.03309665
4.92225456,0.8749463,0.4064731,0.76914519,1.05608141,0.43792611,0.62420243,1.04336917,0.46292716,0.83543164,1.72376323,0.82214999,0.51214719,1.82347953,1.24730551,-0.02537227
5.00282431,0.82571465,0.40445998,0.75185287,1.00139284,0.44487062,0.62006879,1.03919482,0.47107148,0.83226424,1.70597327,0.81471586,0.49849379,1.78359139,1.24035144,-0.02940384
5.01958752,0.90069026,0.42112342,0.72156191,1.05919492,0.44946301,0.61118716,1.04515028,0.46085793,0.82642132,1.75604582,0.84120858,0.48345527,1.90302074,1.24459386,-0.03483567
4.93166113,0.93886685,0.40656075,0.74819505,1.12860954,0.44198292,0.63057315,1.06724191,0.48912781,0.84943491,1.7823689,0.80769175,0.51270723,1.90655136,1.24447155,-0.0233324
4.84531403,0.91913086,0.41124806,0.76475739,1.10725427,0.44437578,0.62488806,1.08048499,0.47534245,0.85102391,1.78311157,0.83953673,0.51660353,1.86747169,1.24146366,-0.03838638
4.861588,0.8904199,0.39047498,0.77299941,1.07077527,0.45964238,0.6224066,1.05800164,0.47259319,0.83371276,1.74702775,0.81934029,0.52014661,1.83561397,1.25584233,-0.03448913
4.93166113,0.87384641,0.39493328,0.74640298,1.02858984,0.45125365,0.62731028,1.06282127,0.48173514,0.84604317,1.75804913,0.80516839,0.49947959,1.91843951,1.24146366,-0.03251874
4.84060764,0.9861244,0.41801375,0.75454021,1.18139517,0.46370164,0.62678921,1.09054482,0.4948577,0.86077374,1.82600629,0.80594832,0.52775449,1.93329823,1.26425791,-0.02614983
5.01472569,0.96735156,0.40934989,0.76263142,1.16154897,0.46044213,0.63572019,1.09116375,0.50288266,0.84954232,1.81053305,0.80634248,0.53366125,1.91151202,1.24820375,-0.01427982
4.78761435,0.93098968,0.41371891,0.76054096,1.1131537,0.45293552,0.61846936,1.0840956,0.48225474,0.85566378,1.78700101,0.80216372,0.53694755,1.85861862,1.25121939,-0.0311989
4.83605814,0.89736861,0.396451,0.77339154,1.0674721,0.47858375,0.62612331,1.05970359,0.48563448,0.84408277,1.73493028,0.8290047,0.53163838,1.82941425,1.26998544,-0.02821577
4.82439756,0.98659426,0.41496849,0.74657375,1.18019032,0.45335376,0.63237923,1.09255302,0.49889305,0.87284189,1.82859492,0.83076596,0.52726543,1.95692003,1.24249148,-0.02053013
4.85230398,0.99515355,0.42187655,0.76676571,1.19676149,0.47666755,0.63237923,1.0917654,0.50520611,0.84702724,1.82120585,0.82418507,0.53528142,1.93326187,1.24774134,-0.01765816
4.81986141,0.95282418,0.40391588,0.76495743,1.15028667,0.46653271,0.6307826,1.08682907,0.50138623,0.85385591,1.79653704,0.78708649,0.53056043,1.89351451,1.24510872,-0.02145943
4.99813366,0.92871177,0.40176266,0.75841802,1.11590087,0.44256341,0.61247778,1.07215536,0.48285514,0.85395849,1.76310444,0.77271372,0.54926658,1.84701073,1.257653,-0.03346149
4.88953781,1.00571632,0.39225474,0.72778392,1.21216547,0.46761587,0.6318019,1.08469343,0.48525035,0.84748679,1.82000744,0.85217083,0.52115935,1.97107959,1.24447155,-0.00454398
4.99813366,0.98316848,0.4003903,0.75630695,1.20623875,0.45986325,0.63758862,1.10524905,0.50751489,0.87316751,1.83125126,0.84226239,0.52650839,1.95350301,1.24911559,-0.01839077
4.91055775,0.97809428,0.40035596,0.7688598,1.18895113,0.46269175,0.63139391,1.08541751,0.49143118,0.85810781,1.79381132,0.86635381,0.54395497,1.91469693,1.25346267,-0.00965
5.00767565,0.92361665,0.38740408,0.76121771,1.1342715,0.45687237,0.63412428,1.07385874,0.48011649,0.83488363,1.76439571,0.79472119,0.53503656,1.88187194,1.24883413,-0.01319884
4.89888668,0.96783906,0.42193973,0.72349536,1.17025721,0.44794801,0.62697661,1.07896101,0.47871205,0.84586519,1.80805707,0.80205554,0.52123189,1.99143851,1.24406505,-0.01755034
4.81986141,1.00694847,0.39327377,0.75299788,1.25391114,0.46519595,0.64154035,1.09166193,0.50553071,0.85714799,1.83134198,0.85266912,0.53354454,2.00001287,1.25259328,0.00123349
4.93166113,0.97817147,0.40352467,0.75945652,1.22432649,0.45600796,0.63495678,1.09617269,0.50035805,0.85747498,1.82405066,0.79316968,0.53858823,1.95884311,1.24276519,-0.00919958
5.00282431,0.94661051,0.39513239,0.76875931,1.18508267,0.45090809,0.6248613,1.07302916,0.47308004,0.84274304,1.77769434,0.82585257,0.54748613,1.92114317,1.24796569,-0.0091708
4.85230398,0.88089913,0.39848962,0.76497895,1.11547756,0.45463336,0.6248613,1.05793726,0.47326902,0.85074955,1.73506904,0.78618765,0.52306587,1.89806819,1.23463464,-0.00772608
4.81986141,0.98955542,0.40351257,0.74932301,1.26243401,0.42881033,0.63421023,1.0850389,0.47458026,0.85625404,1.83559656,0.84932959,0.52421606,2.03719306,1.24220288,-0.00036225
4.84060764,0.988015,0.39983925,0.76405954,1.26286113,0.43783981,0.64446247,1.08544517,0.48290548,0.85003424,1.82979858,0.80387145,0.5318079,2.01464391,1.24536228,0.00302994
4.94820166,0.94510472,0.40164474,0.77034897,1.21148133,0.42512101,0.62983412,1.08055067,0.47837493,0.85150272,1.79934657,0.81596458,0.53137612,1.9487468,1.24376035,-0.00955413
4.96479416,0.91240835,0.39009562,0.77992237,1.16313279,0.46525532,0.63304812,1.05462945,0.45560455,0.82762241,1.74424279,0.82842308,0.53454787,1.91000855,1.2498889,-0.01209412
4.83136034,0.90958899,0.40462452,0.73192263,1.14223909,0.46032801,0.62078476,1.0513494,0.45610499,0.83592522,1.77657378,0.80067331,0.50948101,2.02241755,1.25757349,-0.01162969
4.938766,0.9823671,0.39875162,0.74901694,1.25645912,0.43481824,0.62682897,1.06207788,0.45550597,0.83507246,1.80865419,0.87470931,0.5355044,2.01120424,1.25809741,-0.01083734
4.93166113,0.93959945,0.39453629,0.76070076,1.21705687,0.44829422,0.6396988,1.06866419,0.47569963,0.84237158,1.78923476,0.82053697,0.53596509,1.97232223,1.25205493,-0.00953936
5.11377811,0.90167236,0.39683297,0.76586396,1.16374528,0.42545867,0.62100375,1.05460942,0.45338699,0.83457631,1.7532872,0.84219205,0.53940946,1.9152832,1.25887394,-0.02512134
4.97661066,0.86239624,0.37877929,0.76768392,1.10065448,0.44558743,0.62492132,1.02910733,0.45639879,0.81962007,1.69938052,0.79556787,0.52663863,1.86988604,1.24338496,-0.0300291
5.01472569,0.94015682,0.398141,0.73764515,1.20720351,0.41304588,0.62010747,1.05695498,0.46514449,0.83481681,1.7842648,0.83158427,0.51208752,1.98290491,1.24767804,-0.02185677
5.00767565,0.93557125,0.38626385,0.75716007,1.2027297,0.45496389,0.62758464,1.05349326,0.46509314,0.83612669,1.76770604,0.83073741,0.52503717,1.96035087,1.25926864,-0.01933127
4.84060764,0.88322109,0.39167547,0.76043844,1.13923073,0.44386724,0.63012874,1.04784942,0.4560875,0.84283364,1.7326144,0.80192417,0.51146072,1.89381576,1.23673344,-0.02597779
4.95300341,0.85536909,0.39382911,0.75912815,1.08982587,0.43557528,0.60839796,1.03078079,0.44139767,0.81857276,1.6905843,0.78611517,0.51211989,1.83538377,1.23944247,-0.04117645
4.93166113,0.92481607,0.38157591,0.69932246,1.17669678,0.44865119,0.62493306,1.042853,0.43840358,0.82499963,1.75600052,0.81572443,0.49085656,1.96503437,1.22656202,-0.02634872
4.78761435,0.92000365,0.39975354,0.75161439,1.17279947,0.44558743,0.62689859,1.06321585,0.4570322,0.84319073,1.76022196,0.78478742,0.52013618,1.93337095,1.23923123,-0.03705917
5.0532732,0.89719617,0.38674635,0.75917423,1.13855922,0.45419952,0.63233286,1.05103159,0.45761022,0.83130968,1.72901523,0.81695014,0.51434779,1.89336205,1.23399234,-0.03632871
4.92703295,0.84715873,0.39143899,0.74997079,1.07764077,0.43621826,0.60959941,1.03842521,0.43879381,0.82598567,1.7007941,0.84065652,0.50172973,1.83043122,1.24187911,-0.04336077
4.938766,0.82847708,0.38064048,0.74815041,1.02908421,0.44226217,0.60995597,1.01757479,0.43196863,0.82283133,1.67760766,0.80641401,0.49968889,1.92808914,1.23145711,-0.02867163
4.96479416,0.92501032,0.40910721,0.7264533,1.17148685,0.43455452,0.62178916,1.06159472,0.44608745,0.83469719,1.76278257,0.78813452,0.50341457,1.93495822,1.24264514,-0.03168504
