Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.21871063,0.20409237,0.09339710,0.48985547,0.04927714,-0.04886742,0.20508388,0.00000000,0.05367937,-0.08724114,0.34409136,-0.06951790,0.07378279,0.00000000,0.00000000,-0.02103081,0.00000000,0.00000000,0.00000000,0,18:46:33.0,0,0
2,0.00000000,0.00000000,0.00000000,0.21079469,0.25445950,0.03146601,0.35254997,-0.14620425,-0.02484996,0.05579144,0.00000000,0.03928894,-0.14391240,3.25261045,-0.04317351,-0.00272961,0.00000000,0.00000000,0.01005096,0.00000000,0.00000000,0.00000000,0,18:46:33.0,0,0
3,0.00000000,0.00000000,0.00000000,0.23459411,0.27913970,0.10426593,0.28804287,-0.14620425,-0.03994393,0.27294654,0.00000000,0.13971601,-0.14391240,0.34409136,-0.00679951,0.07378279,0.00000000,0.00000000,-0.00774782,0.00000000,0.00000000,0.00000000,0,18:46:33.0,0,0
4,0.00000000,0.00000000,0.00000000,0.24259900,0.19302848,0.05319254,0.19322293,0.24162953,-0.05089895,0.20508388,0.00000000,0.09470633,0.21289831,-1.23711920,-0.04756584,-0.15637089,0.00000000,0.00000000,-0.00333036,0.00000000,0.00000000,0.00000000,0,18:46:34.0,0,0
5,0.00000000,0.00000000,0.00000000,0.21871063,0.27669245,0.01258421,0.19409429,-0.32119155,-0.02814238,0.07153638,0.00000000,-0.00714141,1.29399014,-1.23711920,-0.12111631,-0.15637089,0.00000000,0.00000000,0.01552496,0.00000000,0.00000000,0.00000000,0,18:46:34.0,0,0
6,0.00000000,0.00000000,0.00000000,0.30011666,0.31228614,0.04216072,0.08253916,-0.14620425,-0.04353019,0.18020338,0.00000000,0.09974548,0.18522254,3.25261045,-0.02944490,-0.08276336,0.00000000,0.00000000,0.00441494,0.00000000,0.00000000,0.00000000,0,18:46:34.0,0,0
7,0.00000000,0.00000000,0.00000000,0.25754696,0.20269004,0.08024439,0.10714430,0.04927714,-0.03803271,0.23942772,0.00000000,0.11803912,-0.05041268,0.34409136,-0.01684889,-0.00272961,0.00000000,0.00000000,-0.00557874,0.00000000,0.00000000,0.00000000,0,18:46:34.0,0,0
8,0.00000000,0.00000000,0.00000000,0.27255088,0.34437871,0.02310281,0.23102532,0.44368434,-0.02250040,0.00689068,0.00000000,0.03827879,0.25006753,0.34409136,-0.08420332,0.31796753,0.00000000,0.00000000,0.02193532,0.00000000,0.00000000,0.00000000,0,18:46:34.0,0,0
9,0.00000000,0.00000000,0.00000000,0.25754696,0.21683243,0.00746948,0.13933431,-0.32119155,-0.00342877,-0.00759028,0.00000000,-0.07096192,0.18113387,-1.23711920,-0.15482335,-0.22865002,0.00000000,0.00000000,-0.01977427,0.00000000,0.00000000,0.00000000,0,18:46:35.0,0,0
10,0.00000000,0.00000000,0.00000000,0.23535430,0.27669245,0.07124387,0.20381947,0.24162953,-0.01046787,0.26530987,0.00000000,0.10153319,0.05723262,0.00000000,-0.01454217,0.07378279,0.00000000,0.00000000,-0.01106099,0.00000000,0.00000000,0.00000000,0,18:46:35.0,0,0
11,0.00000000,0.00000000,0.00000000,0.26618573,0.29333222,0.07256506,0.37882298,0.24162953,-0.03746013,0.12985732,0.00000000,0.09589352,0.25006753,-1.23711920,-0.03429263,0.15178484,0.00000000,0.00000000,-0.02946428,0.00000000,0.00000000,0.00000000,0,18:46:35.0,0,0
12,0.00000000,0.00000000,0.00000000,0.24954203,0.19904919,0.03629934,0.35323966,0.04927714,0.02544368,0.10442102,0.00000000,0.01866827,-0.36115855,-1.23711920,-0.09328469,-0.08276336,0.00000000,0.00000000,-0.03278254,0.00000000,0.00000000,0.00000000,0,18:46:35.0,0,0
13,0.00000000,0.00000000,0.00000000,0.30444545,0.30683041,0.01871145,0.32478878,-0.14620425,0.00197984,0.05589511,0.00000000,-0.09423744,-0.28243667,-1.23711920,-0.14036715,-0.00272961,0.00000000,0.00000000,-0.00449169,0.00000000,0.00000000,0.00000000,0,18:46:35.0,0,0
14,0.00000000,0.00000000,0.00000000,0.24880102,0.39219368,0.04098235,0.29689148,0.44368434,-0.00822261,0.21369191,0.00000000,0.09248988,-0.14391240,-1.23711920,-0.02545922,-0.08276336,0.00000000,0.00000000,-0.05140623,0.00000000,0.00000000,0.00000000,0,18:46:36.0,0,0
15,0.00000000,0.00000000,0.00000000,0.25754696,0.39309880,0.05099525,0.19090377,-0.14620425,-0.00942149,0.22277310,0.00000000,0.07870482,0.18113387,3.25261045,-0.08420332,-0.08276336,0.00000000,0.00000000,-0.03608536,0.00000000,0.00000000,0.00000000,0,18:46:36.0,0,0
16,0.00000000,0.00000000,0.00000000,0.25754696,0.20269004,-0.01285913,0.03538005,0.04927714,-0.01249645,0.11261615,0.00000000,-0.00992034,-0.14391240,-1.23711920,-0.09031292,-0.08276336,0.00000000,0.00000000,-0.07002693,0.00000000,0.00000000,0.00000000,0,18:46:36.0,0,0
17,0.00000000,0.00000000,0.00000000,0.22671553,0.24730541,-0.04892344,0.07974985,-0.32119155,0.00675470,-0.08115999,0.00000000,-0.10170180,-0.34119594,-1.23711920,-0.14137024,-0.15637089,0.00000000,0.00000000,-0.05580315,0.00000000,0.00000000,0.00000000,0,18:46:36.0,0,0
18,0.00000000,0.00000000,0.00000000,0.21884917,0.34786856,0.00175236,-0.00250983,0.04927714,-0.02432293,0.08020020,0.00000000,0.07207075,0.19339621,-2.36790395,-0.05283870,-0.00272961,0.00000000,0.00000000,-0.08148493,0.00000000,0.00000000,0.00000000,0,18:46:36.0,0,0
19,0.00000000,0.00000000,0.00000000,0.26618573,0.30852672,0.03056658,-0.01093993,0.04927714,-0.01365811,0.13835196,0.00000000,0.04812344,-0.55762815,-1.23711920,-0.04620353,-0.22865002,0.00000000,0.00000000,-0.00774782,0.00000000,0.00000000,0.00000000,0,18:46:37.0,0,0
20,0.00000000,0.00000000,0.00000000,0.28267127,0.30402812,-0.02856068,0.08747770,0.24162953,0.00476456,0.03232698,0.00000000,-0.03011278,0.07875645,0.34409136,-0.11129732,-0.15637089,0.00000000,0.00000000,0.00441494,0.00000000,0.00000000,0.00000000,0,18:46:37.0,0,0
21,0.00000000,0.00000000,0.00000000,0.26618573,0.14043418,-0.01140962,0.08092913,0.04927714,-0.00342113,0.10442102,0.00000000,-0.02103809,-0.14391240,-1.23711920,-0.04030696,-0.08276336,0.00000000,0.00000000,0.02301240,0.00000000,0.00000000,0.00000000,0,18:46:37.0,0,0
22,0.00000000,0.00000000,0.00000000,0.18237822,-0.03766401,0.04926729,-0.03389309,-0.32119155,0.01675849,0.12211099,0.00000000,0.10846847,0.09172285,0.34409136,-0.01198941,-0.08276336,0.00000000,0.00000000,-0.00005393,0.00000000,0.00000000,0.00000000,0,18:46:37.0,0,0
23,0.00000000,0.00000000,0.00000000,0.26386172,0.16248442,0.04734207,0.20430821,0.24162953,-0.00717789,0.17112572,0.00000000,0.03943577,-0.16988492,0.34409136,-0.04996051,-0.08276336,0.00000000,0.00000000,-0.08386261,0.00000000,0.00000000,0.00000000,0,18:46:37.0,0,0
24,0.00000000,0.00000000,0.00000000,0.06458625,0.59905440,-0.10973717,0.29404360,-0.14620425,0.06468455,0.06421829,0.00000000,-0.10210511,0.12754560,0.34409136,-0.12214212,0.15178484,0.00000000,0.00000000,-0.14181142,0.00000000,0.00000000,0.00000000,0,18:46:38.0,0,0
25,0.00000000,0.00000000,0.00000000,-0.20483553,0.69268417,-0.10524473,0.31343243,0.24162953,-0.00684888,0.12985732,0.00000000,-0.06078490,-0.08724114,-1.23711920,-0.04996051,0.07378279,0.00000000,0.00000000,-0.11957055,0.00000000,0.00000000,0.00000000,0,18:46:38.0,0,0
26,0.00000000,0.00000000,0.00000000,-0.39719266,0.81309199,-0.12348188,0.14981121,-0.14620425,0.00591305,0.20532772,0.00000000,-0.00158757,1.00889540,0.34409136,-0.02170224,-0.29964831,0.00000000,0.00000000,-0.17294696,0.00000000,0.00000000,0.00000000,0,18:46:38.0,0,0
27,0.00000000,0.00000000,0.00000000,-0.19016953,0.43449235,-0.04941851,-0.02979787,0.24162953,0.00751659,0.15464017,0.00000000,-0.00030700,-0.05740720,-2.36790395,-0.05991141,-0.22865002,0.00000000,0.00000000,-0.16971862,0.00000000,0.00000000,0.00000000,0,18:46:38.0,0,0
28,0.00000000,0.00000000,0.00000000,0.07581346,0.17249016,-0.07048480,-0.19060713,0.04927714,0.01753269,-0.09734179,0.00000000,-0.08029869,-0.10629316,-1.23711920,-0.13665067,-0.15637089,0.00000000,0.00000000,-0.15366372,0.00000000,0.00000000,0.00000000,0,18:46:38.0,0,0
29,0.00000000,0.00000000,0.00000000,0.12163641,0.13017955,-0.05270325,-0.04359514,0.24162953,0.00835442,0.07200506,0.00000000,-0.03173319,-0.08724114,3.25261045,-0.05394620,0.23133540,0.00000000,0.00000000,-0.19494751,0.00000000,0.00000000,0.00000000,0,18:46:39.0,0,0
30,0.00000000,0.00000000,0.00000000,0.18813214,0.12663843,-0.00983984,-0.08519709,0.24162953,-0.00545343,0.23870690,0.00000000,0.04839456,0.46424389,3.25261045,-0.01454217,-0.15637089,0.00000000,0.00000000,-0.18857592,0.00000000,0.00000000,0.00000000,0,18:46:39.0,0,0
31,0.00000000,0.00000000,0.00000000,0.15744086,0.11298718,-0.00972104,-0.12905777,-0.48885497,0.01438089,0.06409024,0.00000000,0.00755940,-0.10629316,-1.23711920,-0.05615444,-0.00272961,0.00000000,0.00000000,-0.19280928,0.00000000,0.00000000,0.00000000,0,18:46:39.0,0,0
32,0.00000000,0.00000000,0.00000000,0.27173132,0.31556365,-0.04208770,-0.04477706,0.04927714,0.03647276,-0.06608084,0.00000000,-0.10895866,0.13751572,0.34409136,-0.09406990,-0.08276336,0.00000000,0.00000000,-0.34325173,0.00000000,0.00000000,0.00000000,0,18:46:39.0,0,0
33,0.00000000,0.00000000,0.00000000,0.37446439,0.44900009,0.01295196,0.04135214,0.24162953,0.01219655,0.11261615,0.00000000,-0.00747389,1.18931150,0.34409136,0.00407615,-0.00272961,0.00000000,0.00000000,-0.26840138,0.00000000,0.00000000,0.00000000,0,18:46:39.0,0,0
34,0.00000000,0.00000000,0.00000000,0.46967524,0.19904919,0.06495000,-0.01343365,-0.14620425,0.03436531,0.23041648,0.00000000,0.00996862,0.36979091,0.34409136,-0.01574638,-0.00272961,0.00000000,0.00000000,-0.32595947,0.00000000,0.00000000,0.00000000,0,18:46:40.0,0,0
35,0.00000000,0.00000000,0.00000000,0.47862595,0.08582407,0.01675386,0.04573721,0.04927714,0.02601791,0.11361636,0.00000000,-0.07203247,0.35008848,0.34409136,-0.04756584,-0.00272961,0.00000000,0.00000000,-0.33418173,0.00000000,0.00000000,0.00000000,0,18:46:40.0,0,0
36,0.00000000,0.00000000,0.00000000,0.39807525,-0.02643553,-0.07169709,-0.05564129,-0.32119155,0.07358302,0.04697713,0.00000000,-0.13729417,-0.22655618,3.25261045,-0.07566368,-0.00272961,0.00000000,0.00000000,-0.28370094,0.00000000,0.00000000,0.00000000,0,18:46:40.0,0,0
37,0.00000000,0.00000000,0.00000000,0.38265955,0.11556723,0.00888159,0.05322379,0.65647268,0.00682789,0.07954129,0.00000000,0.05959601,0.00135213,-1.23711920,0.02662316,0.40092215,0.00000000,0.00000000,-0.27949914,0.00000000,0.00000000,0.00000000,0,18:46:40.0,0,0
38,0.00000000,0.00000000,0.00000000,0.38871208,0.11298718,-0.03715656,-0.08814344,0.04927714,0.02583790,0.18763848,0.00000000,0.03085444,0.00625857,-1.23711920,-0.00192806,-0.00272961,0.00000000,0.00000000,-0.40037668,0.00000000,0.00000000,0.00000000,0,18:46:40.0,0,0
39,0.00000000,0.00000000,0.00000000,0.34404132,0.09993343,-0.08061399,-0.15257198,0.65647268,0.04448274,-0.03332609,0.00000000,-0.02672262,0.07875645,-1.23711920,-0.05509964,-0.29964831,0.00000000,0.00000000,-0.29925954,0.00000000,0.00000000,0.00000000,0,18:46:41.0,0,0
