Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
21,0.00000000,0.00000000,0.00000000,0.00000000,0.05923343,0.00000000,0.00000000,0.31443593,0.26402947,0.16693637,0.00000000,0.08391892,-0.04860496,-0.37896955,-0.14004131,0.21465035,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:06.0,0,0
22,0.00000000,0.00000000,0.00000000,0.00000000,0.10620758,0.00000000,0.00000000,0.10967582,0.27071649,0.06196198,0.00000000,0.03287361,0.11457941,1.40295362,-0.11099245,0.22770885,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:06.0,0,0
23,0.00000000,0.00000000,0.00000000,0.00000000,0.22112484,0.00000000,0.00000000,-0.13685356,0.31535792,0.05292131,0.00000000,0.05473464,0.17022723,0.94519281,-0.11868791,0.18118107,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:06.0,0,0
24,0.00000000,0.00000000,0.00000000,0.00000000,0.04098579,0.00000000,0.00000000,-0.18792194,0.45538184,0.03459308,0.00000000,0.04682089,0.17022723,0.61876309,-0.13760296,0.12477951,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:07.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00000000,0.17257300,0.00000000,0.00000000,0.67261386,0.03296701,0.08531165,0.00000000,-0.04379129,0.28755563,1.50627804,-0.03242319,0.23392853,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:07.0,0,0
26,0.00000000,0.00000000,0.00000000,0.00000000,0.19762027,0.00000000,0.00000000,0.50916708,0.03927869,0.18910751,0.00000000,-0.04929803,0.34187049,1.25360250,0.00386750,0.25314924,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:07.0,0,0
27,0.00000000,0.00000000,0.00000000,0.00000000,0.23842418,0.00000000,0.00000000,0.57001400,0.15007836,0.24286422,0.00000000,-0.04628482,0.44657734,1.83513391,0.01134090,0.22262540,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:07.0,0,0
28,0.00000000,0.00000000,0.00000000,0.00000000,0.04956514,0.00000000,0.00000000,-0.83728886,0.12053174,0.19850838,0.00000000,-0.03389597,0.25694737,0.76722348,-0.01030372,0.17126082,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:07.0,0,0
29,0.00000000,0.00000000,0.00000000,0.00000000,0.18816549,0.00000000,0.00000000,0.57001400,0.07481021,0.12050635,0.00000000,-0.04696317,0.24573541,1.18017340,0.00959497,0.19350621,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:08.0,0,0
30,0.00000000,0.00000000,0.00000000,0.00000000,0.19024992,0.00000000,0.00000000,0.69455284,0.05869763,0.12943372,0.00000000,-0.05478659,0.40037683,1.01440322,0.03032100,0.19532116,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:08.0,0,0
31,0.00000000,0.00000000,0.00000000,0.00000000,0.04955900,0.00000000,0.00000000,0.57001400,0.15007836,0.17646873,0.00000000,0.02905045,0.24573541,0.47428125,0.02653459,0.18499903,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:08.0,0,0
32,0.00000000,0.00000000,0.00000000,0.00000000,0.04807109,0.00000000,0.00000000,0.35212758,0.08140127,0.12007005,0.00000000,0.03680699,0.13720647,0.01610290,-0.01923653,0.14547759,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:08.0,0,0
33,0.00000000,0.00000000,0.00000000,0.00000000,0.06930619,0.00000000,0.00000000,0.18281910,0.13689575,0.09042396,0.00000000,0.05519485,0.18108614,-0.42797399,0.02546893,0.19369483,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:08.0,0,0
34,0.00000000,0.00000000,0.00000000,0.00000000,0.04653448,0.00000000,0.00000000,0.02037606,0.07481021,0.15752983,0.00000000,0.04125606,0.37022331,0.53575742,0.04678750,0.16868232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:09.0,0,0
35,0.00000000,0.00000000,0.00000000,0.00000000,-0.02105436,0.00000000,0.00000000,-0.05102781,0.15007836,0.19658247,0.00000000,0.04352081,0.37022331,0.47428125,0.02364831,0.15375687,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:09.0,0,0
36,0.00000000,0.00000000,0.00000000,0.00000000,-0.13491115,0.00000000,0.00000000,-0.08512624,0.25046721,0.01992256,0.00000000,0.04595679,0.13246772,-0.34668460,-0.03202266,0.08699986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:09.0,0,0
37,0.00000000,0.00000000,0.00000000,0.00000000,0.10732601,0.00000000,0.00000000,0.09189265,0.19995853,-0.07262386,0.00000000,0.02349626,0.26375383,0.76722348,-0.00400087,0.10187568,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:09.0,0,0
38,0.00000000,0.00000000,0.00000000,0.00000000,0.19690621,0.00000000,0.00000000,0.31443593,0.21335061,-0.05368497,0.00000000,0.02320575,0.23396426,0.21868795,0.02720317,0.13045910,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:09.0,0,0
39,0.00000000,0.00000000,0.00000000,0.00000000,0.13829666,0.00000000,0.00000000,0.07301025,0.13042821,-0.06321732,0.00000000,-0.00437982,0.23396426,-0.12681755,0.02259808,0.13120690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:10.0,0,0
40,0.00000000,0.00000000,0.00000000,0.00000000,0.16635306,0.00000000,0.00000000,-0.13685356,0.10744586,-0.17684866,-5.70468712,-0.01805651,0.09362178,-0.63332522,-0.01921128,0.07566634,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:10.0,0,0
41,0.00000000,0.00000000,0.00000000,0.00000000,0.24250108,0.00000000,0.00000000,-0.15357812,0.06505001,-0.33982259,0.00000000,-0.00323521,0.03145620,-0.88573754,-0.05193534,-0.00075067,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:10.0,0,0
42,0.00000000,0.00000000,0.00000000,0.00000000,0.13108990,0.00000000,0.00000000,-0.36803499,-0.10891911,-0.13549647,0.00000000,-0.03429689,0.19592294,-0.58678383,0.03666279,0.11045805,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:10.0,0,0
43,0.00000000,0.00000000,0.00000000,0.00000000,0.02768485,0.00000000,0.00000000,-0.41625687,-0.13359873,-0.04402339,-3.69301939,-0.06122911,0.21545750,-0.84205329,0.03824484,0.12477842,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:10.0,0,0
44,0.00000000,0.00000000,0.00000000,0.00000000,-0.00145666,0.00000000,0.00000000,-0.30317980,-0.06853914,-0.13549647,0.00000000,-0.04343702,0.13720647,-0.76881909,-0.00308901,0.08151060,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:11.0,0,0
45,0.00000000,0.00000000,0.00000000,0.00000000,0.11770409,0.00000000,0.00000000,-0.41625687,0.26402947,-0.16395846,0.00000000,-0.00897191,-0.02705015,-0.63332522,-0.04772472,0.00507773,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:11.0,0,0
