CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
-4.29410744,-0.76704681,-3.05821419,-2.79832482,-0.18832487,3.26285839,12.62145424,5.12011623,3.39661789,-1.19316161,-0.46549535,-2.25044513,-0.25823402,0.36561042,-2.55031896,-1.18179059
-4.30349541,-0.84271979,-3.05351591,-2.81863761,-0.31626791,3.14793158,12.53723431,5.03833199,3.3015306,-1.30320823,-0.54270029,-2.3258276,-0.31945258,0.31253511,-2.57795191,-1.20389557
-4.30711937,-0.78421676,-3.06027293,-2.82001615,-0.20095855,3.3301897,12.73048973,5.19604874,3.43286514,-1.08649158,-0.42675474,-2.2132411,-0.24108408,0.39909026,-2.54404092,-1.17280924
-4.28383446,-0.71075881,-3.05354071,-2.78922915,-0.07674772,3.39050484,12.77236366,5.22349215,3.49130797,-1.025213,-0.37826517,-2.17622399,-0.20546892,0.42338955,-2.52851033,-1.15189886
-4.30758286,-0.73218352,-3.05341959,-2.79478121,-0.12262696,3.31196809,12.67754841,5.17988157,3.43485546,-1.098068,-0.41573077,-2.21164131,-0.2239707,0.39283556,-2.54184747,-1.16324103
-4.30825806,-0.78871781,-3.04921055,-2.80900049,-0.22296548,3.22177863,12.62323475,5.11809921,3.3627634,-1.19446659,-0.46938148,-2.26454544,-0.25386408,0.35550773,-2.56114316,-1.18121481
-4.33500195,-0.85510802,-3.047333,-2.81871724,-0.33826602,3.10784006,12.5147171,5.03117943,3.26622772,-1.31327808,-0.54639363,-2.34372783,-0.31479958,0.3011615,-2.58789825,-1.21307898
-4.36291409,-0.84284043,-3.05095959,-2.82167244,-0.34162951,3.22041225,12.63099289,5.15179634,3.33966923,-1.14950538,-0.46637937,-2.26634336,-0.26906544,0.36877632,-2.56345177,-1.18643475
-4.3248148,-0.72431511,-3.04936695,-2.78695059,-0.08529854,3.36094475,12.77236366,5.21171951,3.45895529,-1.04236054,-0.39159754,-2.22097254,-0.22162421,0.40017429,-2.55545449,-1.18185568
-4.32768345,-0.73596799,-3.05594969,-2.790308,-0.11023086,3.31516767,12.70631599,5.18595886,3.42351842,-1.08172965,-0.41044772,-2.2420702,-0.23240453,0.38061708,-2.55917978,-1.18719542
-4.32698822,-0.78380579,-3.04942799,-2.7986474,-0.20069927,3.2106061,12.61624241,5.12237024,3.34700537,-1.17949712,-0.46865106,-2.29701114,-0.26913807,0.33523482,-2.57766604,-1.21825671
