Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,-0.23398100,-0.03821488,-0.15568925,-0.17405777,-0.10812381,-0.16871515,-0.02042243,-0.15932406,0.06905369,-0.28896359,-0.06014375,-0.02652624,0.32078633,0.23062924,-0.00046444,0.11940911,0.00000000,0.00000000,0.00000000,0,16:23:19.0,0,0
2,0.00000000,0.00000000,0.00000000,-0.23760918,-0.03727797,-0.17891797,-0.19824485,-0.10142207,-0.26235670,-0.05243666,-0.15024862,0.00185416,-0.30415669,-0.05299379,-0.01375014,0.33629757,0.22537106,0.01440812,0.12755318,0.00000000,0.00000000,0.00000000,0,16:23:19.0,0,0
3,0.00000000,0.00000000,0.00000000,-0.25439003,-0.06116879,-0.18370992,-0.19288062,-0.12227490,-0.31095785,-0.08690300,-0.17320913,-0.07401421,-0.33016685,-0.08706293,-0.00526863,0.32955229,0.20137587,0.01625475,0.11748918,0.00000000,0.00000000,0.00000000,0,16:23:19.0,0,0
4,0.00000000,0.00000000,0.00000000,-0.28070438,-0.09209970,-0.18484591,-0.19119152,-0.15406232,-0.23800440,-0.06453361,-0.20115387,-0.08024660,-0.34996545,-0.11544182,-0.02500884,0.31535918,0.15780541,0.00890317,0.09099532,0.00000000,0.00000000,0.00000000,0,16:23:20.0,0,0
5,0.00000000,0.00000000,0.00000000,-0.31707549,-0.13880685,-0.18685630,-0.20284522,-0.20292795,-0.29136693,0.00400076,-0.21738099,-0.03931969,-0.35200909,-0.13534890,-0.03267295,0.31420806,0.20442131,0.00007974,0.10848687,0.00000000,0.00000000,0.00000000,0,16:23:20.0,0,0
6,0.00000000,0.00000000,0.00000000,-0.25504369,-0.04510695,-0.15379150,-0.17799668,-0.10938687,-0.26542324,-0.02474771,-0.14565355,-0.07282241,-0.30540365,-0.05109909,-0.00802423,0.35549331,0.24739106,0.01639252,0.13432346,0.00000000,0.00000000,0.00000000,0,16:23:20.0,0,0
7,0.00000000,0.00000000,0.00000000,-0.23647112,-0.03494710,-0.14430395,-0.16658379,-0.08827824,-0.24780415,-0.00388610,-0.13628973,-0.06078721,-0.30455187,-0.05211222,-0.02159305,0.36259794,0.22491217,0.01259825,0.14074335,0.00000000,0.00000000,0.00000000,0,16:23:20.0,0,0
8,0.00000000,0.00000000,0.00000000,0.09242191,-0.10517980,0.06952408,0.11119215,-0.10967061,-0.16478993,0.19770864,-0.13906744,0.08809100,0.22519696,-0.14495218,0.01339196,0.38862261,0.07189092,0.00879593,0.07896290,0.00000000,0.00000000,0.00000000,0,16:23:20.0,0,0
9,0.00000000,0.00000000,0.00000000,-0.02736536,-0.13224505,-0.03807303,0.01377213,-0.17048004,-0.10934443,0.16789904,-0.14206429,0.10240254,0.17443316,-0.16851269,-0.01151677,0.35977915,0.04221134,-0.00507296,0.05895099,0.00000000,0.00000000,0.00000000,0,16:23:21.0,0,0
10,0.00000000,0.00000000,0.00000000,-0.05185346,-0.18346342,-0.03800013,-0.00322853,-0.22271754,-0.15972634,0.10527691,-0.17234853,-0.00992546,0.15347953,-0.21052319,-0.00668928,0.34455860,-0.00859719,0.02132378,0.03306589,0.00000000,0.00000000,0.00000000,0,16:23:21.0,0,0
