CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
1.03958285,0.2765691,1.4645102,1.57679904,0.0919122,1.30796278,5.21559477,-0.32758561,10.28843975,2.78208733,0.36880916,1.83486414,2.06950617,0.89039803,-0.25479686,1.07291377
1.07179022,0.31151405,1.57388091,1.56743336,0.12330896,1.35766816,5.1441493,-0.2680527,10.3411932,2.82133842,0.46054557,1.82042742,2.09050393,1.02779222,-0.25268993,1.13045919
1.11177659,0.36033252,1.51640773,1.57269275,0.18361975,1.27983797,5.24808311,-0.2837137,10.27325344,2.81902647,0.48033157,1.84656298,2.1048224,1.02794814,-0.24842849,1.13020122
1.07857013,0.34044787,1.50059497,1.58634019,0.15714802,1.332618,5.09620285,-0.30600449,10.31105518,2.81013036,0.45207188,1.83894491,2.10174775,1.00600064,-0.25439018,1.12859952
1.03396571,0.28980303,1.49932098,1.55963182,0.10048214,1.23920596,5.31381512,-0.33815759,10.33327103,2.75159073,0.40942109,1.81823564,2.07727337,0.96983898,-0.25086948,1.11825645
0.98230582,0.23102999,1.45624053,1.4796164,0.03158527,1.18252873,5.28554535,-0.37562525,10.22116566,2.65687203,0.37573856,1.82988799,2.055058,0.91362476,-0.25269178,1.0854497
1.04866433,0.32932478,1.54037583,1.50880933,0.12992829,1.19912744,5.26923847,-0.30389079,10.23620415,2.74123549,0.48928308,1.82293487,2.07669401,1.06277132,-0.25780967,1.15736473
1.03049219,0.326047,1.52383864,1.51370788,0.12327606,1.13677335,5.30205631,-0.33527651,10.3411932,2.71323586,0.4682394,1.83664811,2.1011765,1.07738614,-0.2523568,1.17840564
1.02517486,0.300935,1.50391567,1.52619445,0.08441203,1.25772369,5.52117157,-0.36097708,10.09005833,2.71368718,0.4298529,1.82006025,2.07733941,1.03586781,-0.24946189,1.16893089
1.00870538,0.25164413,1.49263799,1.52571893,0.02621392,1.22732067,5.60279465,-0.38737953,10.20665264,2.67760158,0.39205542,1.80887878,2.06365132,0.98831695,-0.25836262,1.16806746
0.98382914,0.20245318,1.49276328,1.51061785,-0.03448823,1.12545991,5.63790417,-0.43035057,10.148036,2.64149857,0.33071563,1.80464566,2.05670667,0.91417027,-0.24897864,1.12492776
1.00896931,0.30807418,1.50634313,1.5146451,0.0644911,1.13990378,5.46972704,-0.37168804,10.17726326,2.6714344,0.43948191,1.81471527,2.09381652,1.06382215,-0.2487637,1.19411635
0.99488956,0.2983911,1.47989142,1.52407444,0.04548644,1.1444273,5.52117157,-0.39045498,10.16239071,2.67006516,0.42702037,1.8072803,2.1011765,1.0731951,-0.25991425,1.20761824
0.99336582,0.26854503,1.48641574,1.51628983,0.00878864,1.09133422,5.51618147,-0.40451455,10.11896801,2.6674087,0.40037325,1.80109978,2.08989501,1.01718223,-0.2543416,1.1857996
0.97705454,0.23044574,1.46913922,1.50249004,-0.03685852,1.13349962,5.51135731,-0.42808232,10.17006207,2.63156319,0.3614184,1.80351758,2.07623529,0.96475685,-0.25405493,1.16092634
0.92802048,0.18269955,1.47716534,1.50173628,-0.09477088,1.06652355,5.95338726,-0.47949558,10.07542515,2.55239844,0.29393476,1.79879189,2.06155634,0.90320748,-0.25699833,1.13088334
0.97512788,0.27841443,1.4878788,1.48690319,-0.0089511,1.15993309,5.95338726,-0.40211558,10.05378628,2.60766482,0.41971788,1.79677165,2.07495308,1.06969285,-0.25178072,1.20822763
0.96836209,0.27663302,1.43700755,1.48711216,-0.01098046,1.07738912,5.82961798,-0.39280805,10.17726326,2.58070755,0.43158814,1.79514706,2.08039021,1.07615709,-0.2595093,1.22167766
0.97901565,0.26842061,1.46102154,1.48202205,-0.01935002,1.15882647,5.94013119,-0.39271438,10.23620415,2.5718379,0.41459781,1.81430197,2.08435631,1.0300622,-0.25991425,1.20487106
