Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,-0.60842633,-0.53208643,1.41071415,1.17981827,-0.01719508,2.73335648,-0.31462121,0.11002059,0.12689227,0.05855628,-0.21008603,-0.27985042,-0.57148761,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:10.0,0,0
2,0.00000000,0.00000000,0.00000000,-0.53068328,-0.53100652,1.57649040,1.26019299,-0.00150151,2.80138016,-0.32813489,0.06779152,0.24687175,0.08711272,-0.38693118,-0.29240981,-0.68956703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:10.0,0,0
3,0.00000000,0.00000000,0.00000000,-0.53206664,-0.57115436,1.55897331,1.33331156,-0.08414762,2.56432819,-0.33389679,0.00453677,0.53582454,0.09897238,-0.55527443,-0.38916257,-0.79188347,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:10.0,0,0
4,0.00000000,0.00000000,0.00000000,-0.56400937,-0.61655653,1.53474665,1.34174681,-0.17715740,2.44533491,-0.32414111,-0.05049278,0.65833765,0.08459214,-0.68491268,-0.47369069,-0.86125720,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:11.0,0,0
5,0.00000000,0.00000000,0.00000000,-0.60399181,-0.60606974,1.43266225,1.36157727,-0.25588310,2.15880346,-0.31374934,-0.12343735,0.81557548,0.13890937,-0.73939484,-0.44753686,-0.81374836,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:11.0,0,0
6,0.00000000,0.00000000,0.00000000,-0.45932364,-0.44149345,1.58653522,1.56423092,-0.20674810,2.24341059,-0.30445459,-0.11981302,0.89344513,0.23307166,-0.68436503,-0.31889531,-0.74746650,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:11.0,0,0
7,0.00000000,0.00000000,0.00000000,-0.44397902,-0.39008069,1.61393356,1.61022568,-0.21163170,2.22638059,-0.30691913,-0.14691383,0.95674837,0.30197784,-0.66267961,-0.29868507,-0.68709433,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:11.0,0,0
8,0.00000000,0.00000000,0.00000000,-0.50865859,-0.42702454,1.54665017,1.55483389,-0.25722855,2.21847677,-0.31507176,-0.16193223,0.74731559,0.18104690,-0.63582397,-0.42543331,-0.73357832,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:11.0,0,0
9,0.00000000,0.00000000,0.00000000,-0.56503236,-0.47050679,1.48367095,1.50425720,-0.29301646,2.17537713,-0.31668735,-0.19171765,0.78079009,0.15655552,-0.73801637,-0.49248350,-0.79071331,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:12.0,0,0
10,0.00000000,0.00000000,0.00000000,-0.60173494,-0.51103926,1.43885875,1.43390989,-0.32079685,2.11275673,-0.31417134,-0.20611948,0.78214365,0.16115312,-0.76506674,-0.43554029,-0.70791483,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,15:30:12.0,0,0
