Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,-0.27684158,0.01637589,-0.03793786,-0.02098138,0.00130456,0.01206798,-0.01823559,0.09542002,-0.00747715,-0.00930140,-0.06339376,-0.01636613,-0.05149673,-0.13659911,0.08208004,-0.17102934,0.00000000,0.00000000,0.00000000,0,17:35:33.0,0,0
2,0.00000000,0.00000000,0.00000000,-0.27310142,-0.05768236,-0.03629883,-0.02086567,-0.07180355,0.01241981,-0.03731340,0.05540916,-0.00965958,-0.02138619,-0.12852156,-0.01444605,-0.02436423,-0.15457618,0.06065785,-0.16098329,0.00000000,0.00000000,0.00000000,0,17:35:33.0,0,0
3,0.00000000,0.00000000,0.00000000,-0.27824605,-0.16590273,-0.03859673,-0.02071076,-0.18442637,0.01976148,0.02908807,0.02744410,-0.00676714,-0.03314283,-0.17027456,-0.02057120,-0.01169753,-0.13571517,0.04917474,-0.16630958,0.00000000,0.00000000,0.00000000,0,17:35:33.0,0,0
4,0.00000000,0.00000000,0.00000000,-0.19106768,-0.05167462,-0.03543577,-0.06824346,-0.01333029,0.03677761,0.10871995,0.00403864,-0.00699552,-0.02988020,-0.05277796,-0.01744049,-0.00205972,-0.09169270,0.03670532,-0.17964979,0.00000000,0.00000000,0.00000000,0,17:35:34.0,0,0
5,0.00000000,0.00000000,0.00000000,-0.21701099,0.00219389,-0.05010450,-0.04750957,0.03396453,0.03917815,0.07661630,0.03983194,-0.00509835,-0.01438798,-0.02874742,-0.00986410,0.00937298,-0.10806730,0.03317297,-0.20788716,0.00000000,0.00000000,0.00000000,0,17:35:34.0,0,0
6,0.00000000,0.00000000,0.00000000,-0.29952115,0.01079995,-0.05258779,-0.04185775,0.02958439,0.04520528,0.01691771,0.02740573,-0.00582605,-0.03124355,-0.05239964,-0.01507568,-0.00573010,-0.12960060,0.02806233,-0.19655542,0.00000000,0.00000000,0.00000000,0,17:35:34.0,0,0
7,0.00000000,0.00000000,0.00000000,-0.30686447,-0.06266562,-0.04749220,-0.03265641,-0.05256340,0.02972228,0.00308740,0.02619726,-0.00904775,-0.04421692,-0.11436498,-0.01243012,-0.01082754,-0.15167952,0.03711722,-0.18883410,0.00000000,0.00000000,0.00000000,0,17:35:34.0,0,0
8,0.00000000,0.00000000,0.00000000,-0.23935495,-0.01409082,-0.05255808,-0.08193237,0.03846338,0.05394259,0.10667808,-0.03565219,-0.00413313,-0.03122491,-0.03380765,-0.01730018,-0.00998742,-0.07970957,0.01022951,-0.16460086,0.00000000,0.00000000,0.00000000,0,17:35:34.0,0,0
9,0.00000000,0.00000000,0.00000000,-0.21150866,-0.02467642,-0.04945745,-0.05973604,0.02792205,0.05667943,0.11802550,-0.03555262,-0.00660736,-0.02763221,-0.02554804,-0.01328334,-0.00040225,-0.08260947,0.02932390,-0.19211595,0.00000000,0.00000000,0.00000000,0,17:35:35.0,0,0
10,0.00000000,0.00000000,0.00000000,-0.24931888,-0.01036294,-0.05242437,-0.04806601,0.02787942,0.06045684,0.07720450,-0.01608214,-0.00585729,-0.02741762,-0.03267752,-0.01117000,-0.00921120,-0.12435222,0.02494523,-0.21648756,0.00000000,0.00000000,0.00000000,0,17:35:35.0,0,0
