Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0,0,0,-0.03104521,0.00894167,-0.11481381,-0.02170028,0.01927101,-0.09775436,-0.03865258,0.08257458,-0.2164249,-0.24606511,-0.03151348,-0.44081253,-0.42077771,-0.1291173,-0.11734378,-0.06595439,0,0,0,0,16:59.0,0,0
2,0,0,0,-0.03297033,-0.00653915,-0.10773434,-0.01535972,0.01949382,-0.10285471,-0.04346062,0.08300745,-0.19981459,-0.22240537,-0.01792093,-0.43313926,-0.40902939,-0.11293676,-0.11869222,-0.069576,0,0,0,0,16:59.0,0,0
3,0,0,0,-0.04286915,-0.0193866,-0.10298643,-0.02126215,0.0180447,-0.11226863,-0.04533052,0.0716995,-0.201492,-0.22896396,-0.02326159,-0.45059061,-0.40775448,-0.12725247,-0.1210845,-0.06538391,0,0,0,0,16:59.0,0,0
4,0,0,0,-0.06573081,-0.04902101,-0.11765642,-0.04592327,-0.00852025,-0.14259447,-0.07836837,0.04524207,-0.21786851,-0.24489389,-0.04493262,-0.48289219,-0.43166184,-0.16478248,-0.13709234,-0.08555944,0,0,0,0,17:00.0,0,0
5,0,0,0,-0.09301351,-0.09243258,-0.12594315,-0.07264116,-0.03947276,-0.17601895,-0.11176419,0.00963093,-0.22433895,-0.24536508,-0.07367006,-0.49245211,-0.44660875,-0.18018103,-0.15129413,-0.0979192,0,0,0,0,17:00.0,0,0
6,0,0,0,-0.03271167,0.01408785,-0.08826529,-0.00509476,0.03348065,-0.0921542,-0.01767919,0.06333232,-0.17361417,-0.212836,-0.01861937,-0.41553226,-0.38088435,-0.09864786,-0.09072876,-0.05328283,0,0,0,0,17:00.0,0,0
7,0,0,0,-0.02545511,0.03611821,-0.08650099,0.00881081,0.05231928,-0.08506113,-0.00875479,0.06778327,-0.16247502,-0.20859282,-0.01107539,-0.41608712,-0.3746846,-0.09467146,-0.09100403,-0.05071253,0,0,0,0,17:00.0,0,0
8,0,0,0,-0.03830246,0.00735513,-0.09701382,-0.00582172,0.03492954,-0.10373611,-0.02722519,0.05093275,-0.16639474,-0.2148838,-0.02518733,-0.44841552,-0.39888847,-0.11615346,-0.11067121,-0.05434187,0,0,0,0,17:00.0,0,0
9,0,0,0,-0.05878443,-0.03500203,-0.10498371,-0.03472189,0.00064372,-0.1317331,-0.05862729,0.03325269,-0.18827705,-0.23233299,-0.04402105,-0.47843254,-0.43491966,-0.15491968,-0.12977004,-0.08062338,0,0,0,0,17:01.0,0,0
10,0,0,0,-0.05650879,-0.01261053,-0.10344236,-0.0301421,-0.00074778,-0.10250791,-0.04282193,0.05372528,-0.18014342,-0.2175331,-0.02951362,-0.42122516,-0.39960298,-0.10982025,-0.08996823,-0.0390812,0,0,0,0,17:01.0,0,0
11,0,0,0,0.00032315,0.07519553,-0.07376517,0.03746067,0.07065046,-0.06054624,0.01658142,0.07316965,-0.14931996,-0.20195104,0.00008545,-0.40542617,-0.36463299,-0.06835113,-0.0776119,-0.03550604,0,0,0,0,17:01.0,0,0
12,0,0,0,-0.00644236,0.0617114,-0.07368888,0.03397041,0.06808957,-0.06157971,0.01694956,0.07256553,-0.14082296,-0.19513428,0.00228372,-0.42392951,-0.37123898,-0.06481266,-0.09190076,-0.03063161,0,0,0,0,17:01.0,0,0
13,0,0,0,-0.01831365,0.0234341,-0.07786097,0.01322129,0.04321153,-0.09860329,-0.02306479,0.06011813,-0.16394752,-0.20103732,-0.00870972,-0.44755942,-0.3829999,-0.10927725,-0.10180537,-0.04767437,0,0,0,0,17:01.0,0,0
14,0,0,0,-0.04843671,-0.00008394,-0.09734939,0.00418119,0.02283107,-0.13053818,-0.05488105,0.02250706,-0.18548782,-0.22848749,-0.04672382,-0.48116106,-0.40761742,-0.13340324,-0.12447928,-0.05393716,0,0,0,0,17:02.0,0,0
15,0,0,0,0.01349477,0.08334178,-0.06462546,0.05335782,0.06236038,-0.05888139,0.02444169,0.06800397,-0.141268,-0.18895854,0.00050618,-0.42523617,-0.35910863,-0.06090293,-0.08635845,-0.01100124,0,0,0,0,17:02.0,0,0
16,0,0,0,0.01281676,0.09026019,-0.05075968,0.07427166,0.08452044,-0.06006306,0.01234883,0.07736797,-0.14068656,-0.17574222,0.01258111,-0.39961469,-0.3244046,-0.04317206,-0.06112463,0.00046587,0,0,0,0,17:02.0,0,0
17,0,0,0,0.00463646,0.07390835,-0.05436268,0.07199022,0.07288884,-0.06692217,0.00838819,0.06950428,-0.13543828,-0.17336443,0.01067012,-0.42417952,-0.33898905,-0.05872537,-0.07524528,0.00400448,0,0,0,0,17:02.0,0,0
18,0,0,0,-0.01621025,0.05319596,-0.0641971,0.06202735,0.05624389,-0.099348,-0.02725622,0.04436373,-0.15935659,-0.18886286,-0.01408888,-0.43857786,-0.34736469,-0.09161256,-0.07333945,-0.0039642,0,0,0,0,17:02.0,0,0
19,0,0,0,0.0073355,0.08848938,-0.05012427,0.0710032,0.05704018,-0.04232061,0.02228332,0.07349209,-0.13494495,-0.16953434,0.01160142,-0.3903119,-0.31188715,-0.05010508,-0.01821976,0.02415849,0,0,0,0,17:03.0,0,0
20,0,0,0,0.02443111,0.12023558,-0.03285018,0.10498539,0.09730827,-0.03909085,0.03897085,0.0743207,-0.13369182,-0.16688965,0.0225818,-0.3880417,-0.295279,-0.03826003,-0.01316322,0.02691946,0,0,0,0,17:03.0,0,0
21,0,0,0,0.02489291,0.10020993,-0.02803863,0.09790253,0.08770122,-0.0557707,0.02617651,0.07820397,-0.14485306,-0.15738219,0.03452446,-0.39411852,-0.29134011,-0.05487087,-0.01986636,0.02757975,0,0,0,0,17:03.0,0,0
22,0,0,0,-0.0054192,0.0642527,-0.0486517,0.07166068,0.06036687,-0.07768204,0.00966358,0.05038403,-0.15078904,-0.17417817,0.00962239,-0.42830464,-0.33083189,-0.07958329,-0.05987361,0.00574455,0,0,0,0,17:03.0,0,0
23,0,0,0,-0.02176005,0.03377736,-0.06007651,0.05575277,0.03920977,-0.09494702,-0.0148471,0.02508234,-0.16731156,-0.19094895,-0.01278049,-0.41313079,-0.3218984,-0.06669971,-0.04655699,0.03501103,0,0,0,0,17:03.0,0,0
24,0,0,0,0.04818644,0.13997139,-0.0132441,0.12524956,0.10753275,-0.02179732,0.07494919,0.08635198,-0.11932623,-0.1425125,0.05243076,-0.35548329,-0.25780883,-0.01031306,0.00137075,0.05466702,0,0,0,0,17:04.0,0,0
25,0,0,0,0.0452734,0.13451397,-0.0135877,0.12420315,0.10898346,-0.02492094,0.07810374,0.08852333,-0.1137559,-0.13506518,0.05997673,-0.36858687,-0.26564151,-0.01866494,-0.00368724,0.05486442,0,0,0,0,17:04.0,0,0
26,0,0,0,0.02229637,0.1058775,-0.02824578,0.10587018,0.09043524,-0.05181628,0.05202609,0.0608893,-0.12515382,-0.15456755,0.03417905,-0.39423448,-0.28579652,-0.04251229,-0.01873897,0.05174064,0,0,0,0,17:04.0,0,0
27,0,0,0,0.00405984,0.07040492,-0.04071108,0.08197297,0.06170109,-0.08569673,0.02048499,0.02929538,-0.14927298,-0.17914817,0.00472953,-0.42403609,-0.3158718,-0.08012042,-0.04315633,0.03981206,0,0,0,0,17:04.0,0,0
28,0,0,0,0.02705407,0.12564296,-0.02707636,0.10034353,0.08009993,-0.03287886,0.07439616,0.05762931,-0.12178461,-0.16218378,0.03079676,-0.36047003,-0.27145573,-0.02586468,0.00152274,0.08859687,0,0,0,0,17:04.0,0,0
29,0,0,0,0.06872807,0.16402386,0.00150875,0.13403115,0.11907584,-0.02293245,0.1070006,0.07043231,-0.10612877,-0.1492516,0.05524918,-0.35796723,-0.24816935,-0.00604142,0.00793729,0.08205693,0,0,0,0,17:05.0,0,0
30,0,0,0,0.06001084,0.14664523,-0.0040276,0.12141229,0.10852136,-0.03680094,0.09583407,0.06506919,-0.10308862,-0.14635845,0.05807512,-0.36921331,-0.2499174,-0.01369859,0.00449857,0.0834925,0,0,0,0,17:05.0,0,0
31,0,0,0,0.0311055,0.10666595,-0.01872967,0.09515428,0.08169077,-0.06816748,0.06276347,0.0405837,-0.11804916,-0.16197695,0.03573137,-0.40103948,-0.27255407,-0.0486706,-0.01717902,0.07814639,0,0,0,0,17:05.0,0,0
32,0,0,0,0.00325656,0.06483119,-0.03764467,0.06332842,0.04754578,-0.10074817,0.02899359,0.00678186,-0.14108998,-0.18446371,0.00530401,-0.43791926,-0.30930731,-0.09135975,-0.04519464,0.04156441,0,0,0,0,17:05.0,0,0
33,0,0,0,-0.00516074,0.07511128,-0.04475284,0.05878631,0.0368105,-0.06843396,0.04762164,0.01796595,-0.13053183,-0.18086705,0.01178474,-0.38855937,-0.27955127,-0.04059589,-0.01197649,0.08253272,0,0,0,0,17:05.0,0,0
34,0,0,0,0.05274409,0.14054959,-0.01387483,0.10595472,0.08819728,-0.04086119,0.0876408,0.03903604,-0.11342648,-0.16744636,0.03757755,-0.3797265,-0.2531051,-0.02742974,0.00071409,0.07292479,0,0,0,0,17:06.0,0,0
35,0,0,0,0.044621,0.1284342,-0.01549508,0.10269541,0.08462764,-0.05234404,0.07417771,0.03375108,-0.12022609,-0.1682032,0.03640344,-0.38885722,-0.25837344,-0.03012812,-0.0040884,0.0772647,0,0,0,0,17:06.0,0,0
36,0,0,0,0.02357057,0.09170607,-0.0286999,0.08072118,0.06352433,-0.08046202,0.04494942,0.01479116,-0.14123453,-0.18708001,0.0127072,-0.41771317,-0.27950886,-0.06414925,-0.02232293,0.06236286,0,0,0,0,17:06.0,0,0
37,0,0,0,0.0000755,0.06159917,-0.04426944,0.05587744,0.0332121,-0.1085057,0.01191259,-0.01632423,-0.16369127,-0.21276645,-0.01757571,-0.45130682,-0.31017989,-0.10082888,-0.04620564,0.04428842,0,0,0,0,17:06.0,0,0
38,0,0,0,0.0155768,0.09745476,-0.03807984,0.07190158,0.04804617,-0.06447328,0.0576981,0.00523249,-0.14205459,-0.20306042,0.00023062,-0.40355754,-0.27057764,-0.04959669,-0.01235068,0.08210628,0,0,0,0,17:06.0,0,0
39,0,0,0,0.04974115,0.1295466,-0.01789918,0.1104339,0.08563596,-0.0456733,0.08417416,0.01520989,-0.12714343,-0.19103064,0.01928472,-0.41107243,-0.25226796,-0.03733543,-0.0086588,0.06450336,0,0,0,0,17:07.0,0,0
40,0,0,0,0.04111338,0.10837539,-0.03206046,0.10941917,0.082595,-0.0544741,0.07617675,0.01379573,-0.1282268,-0.19706953,0.02043056,-0.4095149,-0.25395691,-0.06139548,0.0026351,0.06886873,0,0,0,0,17:07.0,0,0
41,0,0,0,0.01949509,0.07688916,-0.03820509,0.09427511,0.05582476,-0.07959288,0.04576589,-0.00852482,-0.1431046,-0.19972259,0.00320458,-0.43324551,-0.27063566,-0.09524617,-0.0275238,0.06049578,0,0,0,0,17:07.0,0,0
42,0,0,0,0.00228243,0.0330016,-0.04364666,0.06555266,0.02069733,-0.10988106,0.00800406,-0.04212598,-0.16813998,-0.224769,-0.02926903,-0.46790481,-0.29905909,-0.13534738,-0.04395454,0.04244431,0,0,0,0,17:07.0,0,0
43,0,0,0,0.01021841,0.07683001,-0.04477555,0.08244604,0.03573451,-0.05224496,0.04784095,-0.00719712,-0.14205459,-0.20413636,-0.00297093,-0.41020483,-0.26593366,-0.07266127,-0.01420249,0.07207701,0,0,0,0,17:07.0,0,0
44,0,0,0,0.05222445,0.11460666,-0.00913652,0.1230235,0.07863782,-0.02865858,0.08266693,0.01828504,-0.12754102,-0.18176654,0.02794516,-0.40059111,-0.24375257,-0.06360535,-0.0060644,0.06389859,0,0,0,0,17:08.0,0,0
45,0,0,0,0.04602525,0.10763907,-0.00394738,0.12397174,0.08113293,-0.03036056,0.08342101,0.01692381,-0.12388922,-0.17659062,0.0312443,-0.40677577,-0.23513165,-0.06449613,0.00091258,0.07183286,0,0,0,0,17:08.0,0,0
46,0,0,0,0.01985008,0.06848659,-0.00720561,0.1062087,0.0607725,-0.05309328,0.0654512,-0.00666678,-0.12752171,-0.19299397,0.00371149,-0.4365719,-0.26824445,-0.10124786,-0.02159002,0.05035453,0,0,0,0,17:08.0,0,0
47,0,0,0,-0.00643674,0.01705601,-0.02032002,0.06723145,0.01959262,-0.0817219,0.02683311,-0.03144819,-0.14078037,-0.20516586,-0.02431945,-0.46918774,-0.29698282,-0.14918062,-0.05056142,0.01445702,0,0,0,0,17:08.0,0,0
48,0,0,0,-0.01491216,0.02430877,-0.02603704,0.05915388,0.00869863,-0.05597693,0.04229193,-0.02238635,-0.13188967,-0.20121236,-0.01862002,-0.41613099,-0.26706967,-0.09944806,-0.02091135,0.061179,0,0,0,0,17:08.0,0,0
