Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.00021705,0.07991922,-0.09067927,-0.04618945,0.11661962,0.09153622,0.02555973,0.04162402,0.04932964,-0.13888329,0.08432873,-0.02336417,-0.03092124,-0.00000000,0.01852974,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:55.0,0,0
2,0.00000000,0.00000000,0.00000000,0.03490466,0.21594471,0.10374483,0.08542576,0.28262010,0.21530728,0.15417014,0.17496730,0.10236913,0.04965304,0.26419556,0.06598201,0.01487322,-0.00000000,0.00445150,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:55.0,0,0
3,0.00000000,0.00000000,0.00000000,0.01286951,0.18938164,0.09309815,0.13847239,0.26894096,0.22766374,0.13210298,0.18315233,0.13288350,0.08073889,0.22783597,0.08677714,0.02478714,-0.00000000,0.00406776,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:55.0,0,0
4,0.00000000,0.00000000,0.00000000,0.01080480,0.08206749,0.07264683,0.14448924,0.05937758,0.20328636,-0.00650446,-0.03898001,0.16363570,0.09425680,0.04601506,0.08605526,0.18565468,-0.00000000,-0.00703227,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:55.0,0,0
5,0.00000000,0.00000000,0.00000000,-0.04696712,0.02710633,-0.02781035,-0.09228122,-0.02464182,0.02332345,-0.07020568,-0.03098751,-0.02943879,-0.08520828,0.03456869,-0.04394783,0.10705322,-0.00000000,-0.03187261,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:56.0,0,0
6,0.00000000,0.00000000,0.00000000,0.06151176,0.22298537,-0.08909339,-0.22318409,0.28959566,0.01160363,0.11316228,0.17806134,-0.07007020,-0.09320898,0.27067831,-0.04241000,0.05067593,-0.00000000,-0.01950752,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:56.0,0,0
7,0.00000000,0.00000000,0.00000000,0.03106268,0.21978112,-0.19105300,-0.26996899,0.35531655,-0.05565208,0.12895919,0.28615236,-0.16477829,-0.31419006,0.29427189,-0.07535884,-0.13352253,-0.00000000,0.00883678,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:56.0,0,0
8,0.00000000,0.00000000,0.00000000,0.00323765,0.14801483,-0.17767419,-0.34791794,0.23887153,-0.14532228,0.06046868,0.16936322,-0.19045240,-0.31097820,0.17658927,-0.09345941,-0.01949689,-0.00000000,0.00279746,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:56.0,0,0
9,0.00000000,0.00000000,0.00000000,-0.01862658,0.16762014,-0.15022129,-0.42287552,0.26760560,-0.07851866,0.13532537,0.22532064,-0.17400382,-0.20052597,0.31947866,-0.11520331,0.04565028,-0.00000000,-0.00933950,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:56.0,0,0
10,0.00000000,0.00000000,0.00000000,0.02663859,0.22200042,-0.08140876,-0.27507249,0.28889585,-0.05304409,0.13848796,0.25448555,-0.08682814,-0.11769968,0.28224602,-0.01974227,0.16847287,-0.00000000,-0.00572983,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:57.0,0,0
11,0.00000000,0.00000000,0.00000000,-0.02958889,0.11407357,0.12927693,-0.05107750,0.16229640,0.05847602,0.07569657,0.12922698,-0.01364271,-0.06899189,0.15185852,-0.02849939,0.07003898,-0.00000000,-0.01035922,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:57.0,0,0
12,0.00000000,0.00000000,0.00000000,-0.08322605,0.00584170,0.15868160,-0.08682114,0.11423617,0.03789736,0.07089762,0.15373133,-0.08961529,-0.14069283,0.10823116,-0.04812873,-0.01290062,-0.00000000,-0.00675389,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:57.0,0,0
13,0.00000000,0.00000000,0.00000000,0.03879625,0.12020601,0.21197800,-0.05168595,0.24531953,0.09327169,0.14932086,0.21220057,-0.08966625,-0.07419266,0.25967607,-0.02924767,0.03748640,-0.00000000,-0.00877667,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:57.0,0,0
14,0.00000000,0.00000000,0.00000000,0.01846765,0.08541853,0.19627920,-0.08579426,0.21032222,0.07969126,0.12468434,0.19808871,-0.08309751,-0.08808605,0.21796052,-0.05207346,0.00486718,-0.00000000,-0.00899927,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:57.0,0,0
15,0.00000000,0.00000000,0.00000000,-0.00976652,-0.00915781,0.13149330,-0.14513662,0.09423192,0.03318607,0.06096814,0.11213661,-0.12162406,-0.14121810,0.10771321,-0.08935978,0.06447033,-0.00000000,-0.01290979,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:58.0,0,0
16,0.00000000,0.00000000,0.00000000,0.01188845,0.06322416,-0.01331472,-0.20360251,0.09321259,0.02430589,0.06579802,0.13485040,-0.09958284,-0.12077957,0.19938703,-0.08055907,0.10672265,-0.00000000,-0.01313661,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:58.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00587955,0.06721255,0.21510758,-0.03996367,0.11905394,0.07671172,0.07614700,0.15373076,-0.05225584,-0.01402923,0.17749441,-0.03534674,0.15167250,-0.00000000,-0.01560467,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:58.0,0,0
18,0.00000000,0.00000000,0.00000000,-0.02705097,0.00139067,0.22367692,-0.04272878,0.04988918,0.07754114,0.05735774,0.06165565,-0.07830542,0.00973460,0.08310839,-0.06407394,0.28386462,-0.00000000,-0.02515690,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:58.0,0,0
19,0.00000000,0.00000000,0.00000000,-0.05242393,-0.13662036,0.22313845,-0.02566802,-0.15965140,0.05059121,-0.06351060,-0.07474599,-0.06585304,-0.06116854,-0.05658729,-0.11055139,0.24834253,-0.00000000,-0.03656776,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:58.0,0,0
20,0.00000000,0.00000000,0.00000000,-0.03366892,0.08051647,0.31823635,0.12656963,0.12346777,0.14423433,0.07842837,0.14893107,-0.01084295,0.05923894,0.16704310,-0.02932813,0.21408652,-0.00000000,-0.02275783,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:59.0,0,0
21,0.00000000,0.00000000,0.00000000,-0.01941699,0.01091061,0.27167737,0.31708795,-0.06673080,0.17889108,-0.07728989,-0.04273906,0.12479700,-0.02288152,0.01342807,-0.03574421,0.19537632,-0.00000000,-0.01962362,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:59.0,0,0
22,0.00000000,0.00000000,0.00000000,-0.04094229,-0.09759995,0.08483700,-0.02276364,-0.07292914,0.01960838,-0.05808391,0.05311113,-0.11350185,-0.23483187,0.01091183,-0.14786264,-0.04658992,-0.00000000,-0.01623817,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:59.0,0,0
23,0.00000000,0.00000000,0.00000000,-0.05396507,0.11563841,-0.00086939,0.21411034,0.13392466,0.15253118,0.02036630,0.13943437,0.07313526,-0.04669487,0.15790020,-0.04161431,0.01630150,-0.00000000,0.00627360,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:59.0,0,0
24,0.00000000,0.00000000,0.00000000,-0.08365857,0.02302363,0.09421174,0.30012754,-0.00488691,0.19598877,-0.03892058,0.06232261,0.14844435,-0.03389812,0.05178667,0.01143997,0.01999752,-0.00000000,0.00592141,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:31:59.0,0,0
25,0.00000000,0.00000000,0.00000000,-0.09332514,-0.05839404,0.29084018,0.35534796,-0.02330671,0.13259858,-0.04151520,0.12087645,-0.04028425,-0.18292201,0.02702765,-0.05510252,-0.19151616,-0.00000000,0.00592141,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:00.0,0,0
26,0.00000000,0.00000000,0.00000000,-0.05553816,0.00120017,0.40673167,0.63454401,-0.11255665,0.28000739,-0.13223732,-0.02151244,0.28875512,0.02543228,0.01083776,0.05055556,-0.02545587,-0.00000000,0.00214048,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:00.0,0,0
27,0.00000000,0.00000000,0.00000000,-0.12007195,-0.08821770,0.38718921,0.56249380,-0.20195068,0.23417653,-0.12817377,-0.10989606,0.18585205,0.06403606,-0.09361587,0.05243605,0.06738365,-0.00000000,-0.00933950,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:00.0,0,0
28,0.00000000,0.00000000,0.00000000,-0.19387804,-0.16981129,0.36176580,0.58015776,-0.31160709,0.22793703,-0.18329971,-0.16642933,0.22232628,0.04956031,-0.17102960,0.03034383,-0.03398089,-0.00000000,-0.00970022,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:00.0,0,0
29,0.00000000,0.00000000,0.00000000,-0.08867964,-0.07487203,0.02900148,0.28735998,-0.26175216,0.13977110,-0.25649503,-0.19044843,0.16498528,-0.14644529,-0.07495826,-0.09567693,0.03634847,-0.00000000,-0.00980701,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:00.0,0,0
30,0.00000000,0.00000000,0.00000000,-0.08673694,-0.09257936,0.00514534,0.36302292,-0.35417998,0.19459204,-0.26922384,-0.37547222,0.28915945,-0.10755017,-0.25286844,-0.03230292,0.20619833,-0.00000000,-0.00859473,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:01.0,0,0
31,0.00000000,0.00000000,0.00000000,-0.08972470,-0.16663387,0.10316429,0.32428077,-0.38792643,0.11647286,-0.26372653,-0.28379419,0.11281472,-0.04824540,-0.23699388,-0.00670724,0.12524599,-0.00000000,-0.01884106,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:01.0,0,0
32,0.00000000,0.00000000,0.00000000,-0.15903591,-0.08915947,0.60915464,0.63771147,-0.14351627,0.25984597,-0.04513787,-0.18322214,0.14215098,0.36554030,-0.07961768,0.13727073,0.28695294,-0.00000000,-0.04081018,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:01.0,0,0
33,0.00000000,0.00000000,0.00000000,-0.23586646,-0.03498998,0.78949833,0.61605966,0.10886006,0.00934896,0.04427905,0.33398646,-0.77000618,0.08795271,0.12909147,-0.22043104,-0.88361859,-0.00000000,0.00502092,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:01.0,0,0
34,0.00000000,0.00000000,0.00000000,-0.21516027,0.00804946,0.51359457,-0.05578316,0.27754703,-0.64108378,-0.00467972,0.27520114,-1.10500741,-0.31383565,0.12153165,-0.34868786,-0.71065956,-0.00000000,0.03484655,-0.00000000,0.00000000,0.00000000,0.00000000,0,15:32:01.0,0,0
