CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
0.94616729,1.25483572,-0.22606048,-0.20755705,1.89236891,-0.31921631,1.47042501,1.74318063,0.01390823,1.40855086,1.54035342,0.74298769,1.1222254,-0.0,0.00079193,-0.0
0.8672002,1.1170212,-0.22326131,-0.21377057,1.71038628,-0.3392939,1.36900055,1.65018082,0.01957895,1.38034487,1.42633069,0.71659279,1.14776468,-0.0,0.00099488,-0.0
0.98982608,1.37668073,-0.20553169,-0.20506555,2.02775049,-0.24164912,1.59183133,1.86055768,0.05259168,1.50810719,1.66574907,0.79143488,1.16461396,-0.0,-0.01091726,-0.0
0.93938541,1.3286438,-0.15860727,-0.17445612,1.97318912,-0.22209586,1.56475759,1.82495582,0.05931185,1.49935901,1.59723496,0.78095615,1.14789557,-0.0,-0.00755532,-0.0
0.86429244,1.20990705,-0.18590096,-0.19449839,1.832757,-0.28080878,1.46444094,1.73447609,0.00168313,1.43031394,1.4675591,0.73422277,1.09574544,-0.0,-0.00307574,-0.0
0.98689395,1.4552958,-0.10431145,-0.14367124,2.11587405,-0.15117282,1.6859504,1.94966984,0.05543097,1.64834929,1.73116112,0.85296154,1.19647789,-0.0,-0.00635321,-0.0
0.93422598,1.40513718,-0.10597554,-0.14598216,2.0572505,-0.15795572,1.65590131,1.91478693,0.05316462,1.62581408,1.67485583,0.82606202,1.16861999,-0.0,-0.00947333,-0.0
0.88544101,1.28739321,-0.15966073,-0.16912776,1.92480135,-0.21020743,1.56057894,1.78505731,0.02610938,1.53172088,1.53131783,0.77024508,1.12222922,-0.0,-0.01171968,-0.0
0.98401225,1.50232744,-0.11656261,-0.14000814,2.14900208,-0.15860772,1.72408366,1.95614684,0.04064291,1.6761713,1.76404989,0.85817331,1.19923735,-0.0,-0.00269333,-0.0
0.95742726,1.43851686,-0.11982942,-0.1366016,2.09667253,-0.16007812,1.6886071,1.9165653,0.04778501,1.67143536,1.69112945,0.8471092,1.20526862,-0.0,-0.00212453,-0.0
0.92259586,1.35239148,-0.15418129,-0.16161492,1.99900341,-0.20907111,1.61971128,1.81940198,0.02332265,1.59452116,1.58881366,0.80382591,1.15915418,-0.0,-0.00845634,-0.0
0.89395738,1.23308253,-0.29795554,-0.22385886,1.88052309,-0.32498708,1.50301003,1.69814324,-0.07849503,1.39915979,1.47947729,0.73500347,1.14117372,-0.0,-0.00399438,-0.0
1.09871542,1.46896279,-0.27154803,-0.18024126,2.14248323,-0.23312776,1.67690146,1.86016202,-0.02652706,1.50908208,1.69740498,0.8101601,1.17347109,-0.0,0.00102418,-0.0
1.03631651,1.4177264,-0.19281778,-0.17963268,2.08556533,-0.22906336,1.64173377,1.84232485,0.00810497,1.50754046,1.65204573,0.80075908,1.17432332,-0.0,0.00420079,-0.0
0.95580298,1.27803886,-0.19591056,-0.19054216,1.9177525,-0.27727816,1.53226137,1.72556126,-0.02709719,1.41327488,1.5072093,0.74358815,1.13146818,-0.0,0.00565813,-0.0
1.04409933,1.48363614,-0.15199576,-0.1737944,2.1224308,-0.18910834,1.68601453,1.88359511,0.02099793,1.52906919,1.72390163,0.83833969,1.18984222,-0.0,-0.00143857,-0.0
0.99736983,1.42199361,-0.17960414,-0.18010148,2.09188676,-0.21038796,1.65398729,1.86015284,0.00430678,1.50719154,1.65762734,0.83062029,1.18798077,-0.0,0.00102418,-0.0
0.94146961,1.3407917,-0.15020446,-0.17819749,1.9915154,-0.20936076,1.57664871,1.79661155,0.01195409,1.49332726,1.56192827,0.81021982,1.15676022,-0.0,0.00245267,-0.0
0.82706809,1.28643715,-0.14703687,-0.17843522,1.88835573,-0.21470577,1.53360808,1.79950893,0.01691389,1.54286087,1.56994414,0.84121233,1.15770042,-0.0,-0.00102467,-0.0
0.92821664,1.47056532,-0.0954794,-0.13452038,2.14141965,-0.11885021,1.72349286,1.95006716,0.0446953,1.65960646,1.70823729,0.88880497,1.19231308,-0.0,-0.00735582,-0.0
0.88189417,1.41745734,-0.09993287,-0.14460757,2.0849731,-0.14193766,1.67305708,1.90446162,0.02832557,1.63339305,1.64688206,0.86671829,1.17487395,-0.0,-0.01032083,-0.0
0.83893955,1.27665222,-0.15932025,-0.17461419,1.91825747,-0.2280473,1.5402354,1.76875675,-0.01277445,1.53861129,1.49750507,0.818694,1.15432346,-0.0,0.00117411,-0.0
0.96911508,1.5156635,-0.0842087,-0.12627809,2.19140816,-0.11371768,1.75036311,1.97833478,0.03656961,1.74171889,1.76160944,0.93564391,1.237728,-0.0,-0.00334849,-0.0
0.94355148,1.44928682,-0.12142797,-0.14460641,2.11041498,-0.14118527,1.69970858,1.92377806,0.03490011,1.7076056,1.69970703,0.8972922,1.23119187,-0.0,-0.00837169,-0.0
0.84971011,1.34879029,-0.14334682,-0.17609407,1.99539399,-0.21870184,1.61148965,1.8504138,-0.08273529,1.51878607,1.58419716,0.81187993,1.07943165,-0.0,-0.00473521,-0.0
0.9928444,1.46402073,-0.20015451,-0.18023306,2.08685255,-0.17937431,1.64069748,1.8657341,0.00946693,1.57024336,1.7284174,0.87235451,1.20595992,-0.0,-0.00544244,-0.0
0.98722392,1.4506706,-0.17154008,-0.1746998,2.108356,-0.14843696,1.65951812,1.867715,0.03692162,1.56860077,1.6797694,0.86988318,1.20473909,-0.0,-0.00102467,-0.0
0.91558588,1.37055266,-0.13959037,-0.16034496,2.0033865,-0.14484096,1.6001327,1.80869794,0.04734125,1.56311166,1.59162581,0.85529047,1.1835742,-0.0,-0.00480781,-0.0
0.81649393,1.2320255,-0.16631328,-0.17566463,1.83285475,-0.19595939,1.48431933,1.69801366,0.02310494,1.49495184,1.44680965,0.80459905,1.14823127,-0.0,-0.00765343,-0.0
0.94649869,1.48107421,-0.09847315,-0.13732682,2.10437584,-0.08088761,1.69354892,1.89377964,0.08318841,1.69105554,1.69995487,0.91830868,1.22088563,-0.0,-0.00835785,-0.0
0.9064033,1.41662598,-0.14453909,-0.15110987,2.02969909,-0.13302447,1.63949561,1.843786,0.03898393,1.65463185,1.63101625,0.89504474,1.18666089,-0.0,-0.00835785,-0.0
0.85481572,1.28161013,-0.17843838,-0.18334733,1.88604283,-0.20410873,1.51987231,1.71756768,-0.0104098,1.56137526,1.48611677,0.83261383,1.14070249,-0.0,0.00019111,-0.0
0.79672968,1.23968232,-0.18721926,-0.18790632,1.78109682,-0.21740995,1.46456921,1.69351161,0.0010533,1.56604481,1.49902344,0.85450178,1.17186606,-0.0,0.00019111,-0.0
0.90707463,1.38586617,-0.15107669,-0.17078832,1.98202837,-0.15392971,1.60208511,1.78069592,0.0259771,1.64922762,1.5942682,0.86860979,1.19231308,-0.0,-0.00925881,-0.0
0.87432289,1.33044446,-0.16030903,-0.17574503,1.90918195,-0.1801632,1.54666936,1.71961546,0.01763575,1.59168923,1.51796937,0.84036112,1.15360296,-0.0,-0.00589693,-0.0
0.79738957,1.18373048,-0.22172704,-0.19575171,1.73641253,-0.26201895,1.41782999,1.58307648,-0.02769304,1.46682537,1.35712314,0.77718472,1.09166014,-0.0,-0.00087757,-0.0
0.91574734,1.43306744,-0.17664091,-0.18517968,1.98274887,-0.21043666,1.58235097,1.76372683,-0.01661022,1.61058044,1.60716641,0.85841078,1.1335336,-0.0,0.00363842,-0.0
0.8522715,1.31654179,-0.18635574,-0.19694197,1.86926317,-0.23969752,1.50874341,1.69981182,-0.02131424,1.55464113,1.50586247,0.81849462,1.11629701,-0.0,0.00137729,-0.0
0.80005521,1.2171675,-0.18551508,-0.19874331,1.75698388,-0.26082924,1.43332052,1.59796596,-0.03490885,1.48544359,1.37709832,0.76846993,1.08323586,-0.0,-0.00319135,-0.0
0.75783277,1.26156497,-0.16389853,-0.19370261,1.73872185,-0.23686345,1.4309212,1.63480794,-0.02521745,1.51833987,1.45048571,0.81978059,1.0781225,-0.0,0.00247997,-0.0
0.82779258,1.32013261,-0.11435303,-0.18896973,1.85940611,-0.19615877,1.51412511,1.68258381,-0.01395041,1.54297388,1.46291435,0.82374966,1.06764567,-0.0,0.00108722,-0.0
0.76103789,1.26016343,-0.08954859,-0.20926647,1.79927802,-0.15671869,1.45972574,1.64844668,0.01714763,1.51209712,1.39122748,0.81234717,1.04300499,-0.0,-0.00066586,-0.0
0.67264569,1.14877546,-0.06343551,-0.22057188,1.67060757,-0.15926567,1.38257658,1.59140539,0.04064194,1.46069777,1.33457065,0.79404038,1.03411186,-0.0,0.00363842,-0.0
0.80403793,1.37536466,0.02216932,-0.19152567,1.92467594,0.00553068,1.56767464,1.75086153,0.14465924,1.57297492,1.50517678,0.84029371,1.07438493,-0.0,-0.00515571,-0.0
0.75877756,1.33909023,0.02146806,-0.19718637,1.88370228,0.0011534,1.53561771,1.71238863,0.12566033,1.55765951,1.44805944,0.82761222,1.05555928,-0.0,-0.00450062,-0.0
0.68609351,1.21786749,0.01276142,-0.20536569,1.74582171,-0.03658037,1.44773817,1.63266325,0.06561575,1.48021078,1.33584714,0.79082942,1.03148913,-0.0,0.00043854,-0.0
0.80079174,1.46741474,0.0913149,-0.15567027,2.05268955,0.10565929,1.67550468,1.85860991,0.11074403,1.67000401,1.5952189,0.8946687,1.07099116,-0.0,-0.00247439,-0.0
0.79784256,1.42911625,-0.01965988,-0.19149221,2.0067451,0.05163432,1.64031053,1.80690265,0.09982634,1.6482116,1.54307723,0.8768605,1.06394398,-0.0,-0.00212453,-0.0
0.74634689,1.31117332,-0.05587827,-0.20067887,1.85702348,-0.00585605,1.5400809,1.68450034,0.07190505,1.55669034,1.401034,0.83035779,1.05176997,-0.0,-0.00354977,-0.0
0.87402719,1.55224752,-0.07084971,-0.17157826,2.13051558,0.06870802,1.7482059,1.8575964,0.12091491,1.72812653,1.64400983,0.93578851,1.13662171,-0.0,-0.00814565,-0.0
0.90511239,1.49976289,-0.12765208,-0.19497947,2.08057356,0.01533279,1.68855691,1.78311872,0.11420225,1.61202347,1.57991946,0.88447261,1.08488631,-0.0,-0.00253704,-0.0
0.82738853,1.38701761,-0.12196851,-0.18916893,1.94610083,-0.00900615,1.58004534,1.67174375,0.11510548,1.50813699,1.44454324,0.84253299,1.05505455,-0.0,0.00117411,-0.0
0.95172161,1.60309315,-0.06498781,-0.1705997,2.18978071,0.07811436,1.76139188,1.86197281,0.15138286,1.65842199,1.68562078,0.9337495,1.11697721,-0.0,-0.00227246,-0.0
0.89542472,1.52488708,-0.09938368,-0.17989004,2.12035656,0.06666093,1.71924961,1.81588817,0.15825197,1.64128637,1.61291981,0.91427857,1.09409189,-0.0,-0.00292805,-0.0
0.78695858,1.4515146,-0.21606809,-0.19796117,2.03038359,0.03128912,1.65443492,1.73053503,0.17294754,1.55824828,1.49991548,0.86118799,1.07910812,-0.0,-0.00981674,-0.0
0.79202962,1.53086495,-0.19618164,-0.19120762,2.08977032,0.04468685,1.70223904,1.80983853,0.17091054,1.58876729,1.6264472,0.89685303,1.07946551,-0.0,-0.01191782,-0.0
0.84480023,1.5556438,-0.111126,-0.1806986,2.18195486,0.07657338,1.75510931,1.8456372,0.17657483,1.59540498,1.62909925,0.88505268,1.0640353,-0.0,-0.00779925,-0.0
0.81703502,1.50347388,-0.11671918,-0.18652797,2.11832452,0.05451237,1.70567703,1.79474986,0.15973713,1.55373871,1.56264818,0.85351795,1.0352788,-0.0,-0.00837169,-0.0
0.73034918,1.39930761,-0.19410506,-0.19860984,1.98199725,0.01888588,1.61765516,1.71715927,0.15389565,1.50284624,1.47472143,0.83627611,1.02199388,-0.0,-0.00745439,-0.0
0.84028846,1.59230995,-0.11357126,-0.18640257,2.22124386,0.13415715,1.79864895,1.87743413,0.2080403,1.63771737,1.6686362,0.89623553,1.0309335,-0.0,-0.01347967,-0.0
