Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.01066849,-0.01247457,0.05956129,-0.00879796,0.01558044,-0.00999947,-0.01365920,0.00227937,0.03666528,0.01131358,-0.00456568,0.09649391,0.00000268,-0.13770019,0.00000000,0.00000000,0.00000000,0,15:05:49.0,0,0
2,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.01635082,-0.01134271,0.04318881,-0.00497965,0.00131919,-0.01427554,-0.00585698,-0.00955248,0.01921532,-0.00265672,-0.02547519,0.03757954,-0.00658482,-0.11313996,0.00000000,0.00000000,0.00000000,0,15:05:49.0,0,0
3,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00294870,-0.03889196,-0.03878905,-0.01261166,-0.01830832,-0.07970443,-0.03836254,-0.03364702,-0.06736027,-0.01942841,-0.06687097,-0.13199259,-0.02604977,-0.17170253,0.00000000,0.00000000,0.00000000,0,15:05:49.0,0,0
4,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.01778082,-0.04784533,-0.07846293,-0.01101882,0.00575804,-0.07038516,-0.03735800,-0.01959213,-0.08211818,-0.00507936,-0.04928149,0.15630625,-0.02306801,-0.22952819,0.00000000,0.00000000,0.00000000,0,15:05:50.0,0,0
5,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.01204115,-0.06850394,0.01827592,-0.00800329,-0.10108380,-0.11067855,-0.07505612,-0.05389679,0.02120225,-0.03410064,-0.09466737,0.08116441,-0.05555748,-0.30379003,0.00000000,0.00000000,0.00000000,0,15:05:50.0,0,0
6,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.01148613,-0.06520174,0.01151499,-0.00984412,-0.08109511,-0.10560122,-0.05441480,-0.05443350,0.01389227,-0.04427395,-0.12184512,0.05115983,-0.06203765,-0.30927044,0.00000000,0.00000000,0.00000000,0,15:05:50.0,0,0
7,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.01585667,-0.09163882,-0.06179674,-0.03409949,-0.15450147,-0.18206759,-0.09492843,-0.09663779,-0.07031241,-0.07547811,-0.20477697,-0.10778256,-0.09562740,-0.33537769,0.00000000,0.00000000,0.00000000,0,15:05:50.0,0,0
8,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.02463972,-0.10297925,-0.05910763,-0.04663868,-0.18377289,-0.21170191,-0.12475949,-0.10436159,-0.00720588,-0.05284755,-0.22012749,0.28386053,-0.07203075,-0.45550305,0.00000000,0.00000000,0.00000000,0,15:05:50.0,0,0
9,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.04537129,-0.09631351,0.02463038,-0.05697355,-0.17154408,-0.13971180,-0.08534930,-0.07857195,0.01380645,-0.02805328,-0.22946802,0.10892445,-0.09839422,-0.47577044,0.00000000,0.00000000,0.00000000,0,15:05:51.0,0,0
10,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.03024542,-0.08890107,0.01044499,-0.04198791,-0.15231957,-0.14464809,-0.07573296,-0.08524242,-0.00200571,-0.04453563,-0.23419353,0.05248326,-0.11832749,-0.45611742,0.00000000,0.00000000,0.00000000,0,15:05:51.0,0,0
