Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,-0.03141494,0.04277819,0.05233174,-0.05144951,0.01693113,0.00603498,-0.01279140,0.07627542,-0.06115353,0.02487279,0.06663611,-0.04228409,-0.00679199,0.00810911,0.02236912,0.00046910,0.00000000,0.00000000,0.00000000,0,17:12:28.0,0,0
2,0.00000000,0.00000000,0.00000000,-0.04509812,0.01035761,0.04491679,-0.04976189,0.00137298,-0.00424579,-0.04636679,0.05574887,-0.07484673,0.00973590,0.05322809,-0.02424976,-0.08862856,-0.00732124,0.02099598,-0.00122862,0.00000000,0.00000000,0.00000000,0,17:12:28.0,0,0
3,0.00000000,0.00000000,0.00000000,-0.02939834,0.05022443,0.04338277,-0.04651332,0.00778634,0.02246992,-0.02306108,0.04195254,-0.05002720,0.02393719,0.08285800,-0.03454480,-0.10427052,0.03618515,0.03504338,0.01047121,0.00000000,0.00000000,0.00000000,0,17:12:28.0,0,0
4,0.00000000,0.00000000,0.00000000,-0.00338779,0.07100962,0.04426084,-0.05640245,0.02910706,-0.02064040,-0.03882413,0.02208590,-0.07960592,0.01923116,0.09685118,-0.05671354,-0.13541381,0.04359855,0.03338129,0.01446112,0.00000000,0.00000000,0.00000000,0,17:12:29.0,0,0
5,0.00000000,0.00000000,0.00000000,0.00305738,0.06482462,0.04431314,-0.06681938,0.02721377,-0.02678828,-0.04739669,-0.00229092,-0.10939382,0.00144268,0.09326887,-0.06179398,-0.12319700,0.03971149,0.04164840,0.01543362,0.00000000,0.00000000,0.00000000,0,17:12:29.0,0,0
6,0.00000000,0.00000000,0.00000000,-0.00862068,0.03186836,0.04313883,-0.06373515,0.00981241,-0.01845071,-0.06685476,-0.00756399,-0.10605777,0.00206336,0.08950931,-0.02556593,-0.14041501,0.02740250,0.06926169,0.01010692,0.00000000,0.00000000,0.00000000,0,17:12:29.0,0,0
7,0.00000000,0.00000000,0.00000000,0.06448013,0.09402401,0.04625266,-0.00179941,0.05115410,0.00829554,-0.00287979,0.02371790,-0.06159980,-0.02234783,0.10541967,-0.01943067,-0.17385927,0.04441185,0.00856497,-0.03780301,0.00000000,0.00000000,0.00000000,0,17:12:29.0,0,0
8,0.00000000,0.00000000,0.00000000,0.07737199,0.07628831,0.04416614,0.03127752,0.07010771,0.04419100,0.00069219,-0.00123666,-0.08344429,-0.05703332,0.07840118,-0.05823931,0.14078313,-0.03227013,-0.15175262,-0.16721117,0.00000000,0.00000000,0.00000000,0,17:12:29.0,0,0
9,0.00000000,0.00000000,0.00000000,0.07246960,0.04042894,0.06053073,0.03761579,0.06156417,0.01849686,-0.01339214,-0.00819485,-0.02954099,-0.09091532,0.04576461,-0.07842720,0.21094477,-0.06610942,-0.12597026,-0.18795195,0.00000000,0.00000000,0.00000000,0,17:12:30.0,0,0
10,0.00000000,0.00000000,0.00000000,0.00205196,-0.02263877,0.04765874,-0.00246367,0.02910759,-0.00545893,-0.01634922,0.04991893,-0.02060523,-0.07922129,0.02599066,-0.06765696,0.17653029,-0.01853984,-0.11796148,-0.13237746,0.00000000,0.00000000,0.00000000,0,17:12:30.0,0,0
11,0.00000000,0.00000000,0.00000000,0.01222375,0.04592850,0.05290182,0.02419657,0.05656664,0.00833056,0.04605039,0.10875640,0.03876203,-0.06070987,0.07137192,-0.04232862,0.16693021,0.01015793,-0.09329326,-0.10393911,0.00000000,0.00000000,0.00000000,0,17:12:30.0,0,0
