Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0,0,0,0.20869567,0.21323875,-0.11535326,-0.17583807,0.3542954,-0.09018906,0.0964176,0.25625741,-0.00232,-0.26255444,0.44442061,0,-0.40572715,0.35959494,0,0,0,0,0,0,47:26.0,0,0
2,0,0,0,0.30753741,0.3734732,0.03311811,-0.06751958,0.43119267,0.09628323,0.21860848,0.32521871,-0.00214498,-0.15242888,0.53609169,0,-0.33020076,0.46333617,0,0,0,0,0,0,47:26.0,0,0
3,0,0,0,0.30789977,0.36482671,-0.12786749,-0.19187248,0.47502136,-0.11856612,0.15637197,0.35664526,0.00300245,-0.36679932,0.57400757,0,-0.60704172,0.48582295,0,0,0,0,0,0,47:26.0,0,0
4,0,0,0,0.29208007,0.30427584,-0.33970058,-0.34630424,0.4448123,-0.26417035,0.06123852,0.33673456,-0.00097842,-0.47149941,0.55782795,0,-0.7017315,0.48069128,0,0,0,0,0,0,47:27.0,0,0
5,0,0,0,0.2506853,0.20082718,-0.42538244,-0.45253786,0.38565513,-0.43269914,-0.06881469,0.28267908,0.00407533,-0.63457644,0.52769834,0,-0.82286125,0.47783959,0,0,0,0,0,0,47:27.0,0,0
6,0,0,0,0.41095558,0.29226947,-0.53163117,-0.74397856,0.48760799,-0.59837216,-0.22824226,0.30190179,0.00139395,-0.98418522,0.69256377,0,-1.39782059,0.64225966,0,0,0,0,0,0,47:27.0,0,0
7,0,0,0,0.42913228,0.18429987,-0.92026883,-1.33266914,0.4722887,-0.91728973,-0.58332044,0.2356796,0.00609304,-1.12835336,0.74076384,0,-1.93087065,0.6604197,0,0,0,0,0,0,47:27.0,0,0
8,0,0,0,0.35551566,0.2793667,-0.49576005,-0.81434,0.46253812,-0.77017862,-0.47826955,0.2064376,0.00582277,-1.06216466,0.7708261,0,-1.91420114,0.6146962,0,0,0,0,0,0,47:27.0,0,0
9,0,0,0,0.30443713,0.07249528,-0.55863088,-1.12043929,0.37277469,-0.85823584,-0.60508513,0.16208781,0.01003592,-1.0521946,0.74752706,0,-1.91824985,0.63987911,0,0,0,0,0,0,47:28.0,0,0
10,0,0,0,0.43617922,0.31938004,-0.27906653,-0.81494087,0.52774632,-0.52028799,-0.27699074,0.27324486,0.00477708,-0.7403636,0.89439219,0,-1.88886034,0.75913703,0,0,0,0,0,0,47:28.0,0,0
11,0,0,0,0.41701481,0.33941415,-0.17327893,-0.57255864,0.54468393,-0.44153786,-0.16379337,0.3222239,0.00282634,-0.45419377,0.89612406,0,-1.75924313,0.74026769,0,0,0,0,0,0,47:28.0,0,0
12,0,0,0,0.35304371,0.23698449,-0.2233111,-0.48287654,0.4991211,-0.39839369,-0.11402236,0.31155491,0.01351408,-0.28233364,0.83375078,0,-1.41661191,0.67089742,0,0,0,0,0,0,47:28.0,0,0
13,0,0,0,0.30811074,0.09031141,-0.38835546,-0.80757427,0.4029074,-0.59999096,-0.31678259,0.21794991,0.00533172,-0.57103145,0.77643448,0,-1.60761333,0.68456858,0,0,0,0,0,0,47:28.0,0,0
14,0,0,0,0.43701807,0.24697596,-0.37148073,-0.78812557,0.5456655,-0.56949776,-0.26302028,0.30460793,0.01371564,-0.56705463,0.92042398,0,-1.68048406,0.77940476,0,0,0,0,0,0,47:29.0,0,0
15,0,0,0,0.43862149,0.2577422,-0.3915512,-0.78954446,0.55073953,-0.57223666,-0.26226225,0.31027141,0.00828878,-0.53378296,0.9107303,0,-1.68984067,0.76869291,0,0,0,0,0,0,47:29.0,0,0
16,0,0,0,0.36882627,0.17358425,-0.3518202,-0.72980046,0.49721459,-0.57777399,-0.27092066,0.27056772,0.01358372,-0.52628088,0.86514866,0,-1.54988539,0.73674965,0,0,0,0,0,0,47:29.0,0,0
17,0,0,0,0.39392704,0.22674011,-0.23077311,-0.61316448,0.50228602,-0.50099301,-0.18892397,0.31323862,0.00992622,-0.33307558,0.89834958,0,-1.12571311,0.78012258,0,0,0,0,0,0,47:29.0,0,0
18,0,0,0,0.50022137,0.35222977,-0.42103717,-0.6393249,0.60398424,-0.50554508,-0.12848186,0.370767,0.01371564,-0.32214841,0.9477722,0,-1.25290835,0.78166729,0,0,0,0,0,0,47:29.0,0,0
19,0,0,0,0.46836647,0.28690138,-0.38966978,-0.59850371,0.56327033,-0.4550581,-0.12664509,0.33631101,0.0052827,-0.344547,0.90700489,0,-1.27992797,0.75914913,0,0,0,0,0,0,47:30.0,0,0
20,0,0,0,0.39746189,0.1590324,-0.45879057,-0.68511713,0.48854673,-0.5718087,-0.22698356,0.28106904,0.01299802,-0.4376525,0.84877753,0,-1.35512781,0.71180499,0,0,0,0,0,0,47:30.0,0,0
21,0,0,0,0.45864221,0.2573078,-0.27920374,-0.58381575,0.52882749,-0.40405399,-0.1389709,0.32602426,0.01003592,-0.35329971,0.92975354,0,-1.3851403,0.80160326,0,0,0,0,0,0,47:30.0,0,0
22,0,0,0,0.52760553,0.36685881,-0.19933973,-0.4680019,0.60034019,-0.30936393,-0.0310684,0.36848372,0.01102555,-0.22625907,0.94282401,0,-1.25121379,0.80296993,0,0,0,0,0,0,47:30.0,0,0
