CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
-4.77932930,-2.19904590,-1.76459527,2.85548997,-1.14959025,-1.10241342,-0.32308111,11.08251095,-0.26181045,4.47131014,8.77775002,1.78860116,-1.01835871,-2.76887059,1.40550542,-3.20885468
-4.77740145,-2.20042658,-1.74008322,2.88616085,-1.14719951,-1.10995567,-0.28154474,11.09254074,-0.25125507,4.49041796,8.79543209,1.80211008,-1.01901889,-2.77097249,1.42858374,-3.21626878
-4.77077293,-2.19650841,-1.74666357,2.87280059,-1.13938475,-1.09845018,-0.35030302,11.06834602,-0.25571311,4.45189285,8.74799347,1.70223987,-1.11384606,-2.76797915,1.40000296,-3.21613860
-4.77249575,-2.19118118,-1.73937535,2.96766090,-1.12560153,-1.11230600,-0.25501373,11.07584572,-0.25149101,4.47557497,8.79088306,1.85233879,-0.94504267,-2.76211882,1.46720123,-3.18060923
-4.76957655,-2.19847393,-1.71441925,2.98242474,-1.10467100,-1.11938012,-0.18785864,11.12789249,-0.23965883,4.51559639,8.82902145,1.88786697,-0.93713039,-2.76043463,1.48043704,-3.17764115
-4.77374220,-2.20162344,-1.73644114,2.96742392,-1.10181355,-1.11443901,-0.23279133,11.07212067,-0.24404916,4.45588970,8.77998734,1.80210090,-1.02707171,-2.76275086,1.44842911,-3.17278790
-4.77199221,-2.20358658,-1.72190058,2.94644403,-1.08767462,-1.11113143,-0.12122130,11.14451694,-0.23163882,4.53214216,8.85561562,1.94537103,-0.85378051,-2.76036096,1.51733923,-3.11763144
-4.76775932,-2.19737911,-1.70343566,2.96518874,-1.08809471,-1.11328816,-0.05172500,11.21218109,-0.20503759,4.58767366,8.90623856,1.98398328,-0.85436016,-2.75205112,1.54135394,-3.10573196
-4.76748419,-2.20173645,-1.71719766,2.91860080,-1.07608771,-1.10922563,-0.10571739,11.15909767,-0.21593881,4.52213812,8.85643387,1.89355111,-0.94880027,-2.74840951,1.50873995,-3.09994364
-4.77325249,-2.20694542,-1.70794368,3.00263977,-1.06055140,-1.12948287,0.01023388,11.21164894,-0.20870584,4.59528828,8.92028046,2.05970073,-0.75458723,-2.75219131,1.58295250,-3.04641724
-4.76991892,-2.20865345,-1.67414033,3.08336163,-1.01520586,-1.13445389,0.11155599,11.26727962,-0.18039086,4.65013552,8.97158241,2.12619090,-0.70886630,-2.74749470,1.62476444,-3.04522276
-4.77102613,-2.20404482,-1.68578839,3.07047415,-1.00070572,-1.12170756,0.07979660,11.24622154,-0.18155432,4.60272026,8.94851208,2.04855108,-0.78620297,-2.73837543,1.61798871,-3.04998326
-4.77069569,-2.20750117,-1.67838538,3.08049512,-0.99522328,-1.12592649,0.14750040,11.31971169,-0.17218229,4.67292213,9.02792454,2.18016720,-0.62069988,-2.73665524,1.69202292,-3.02568388
-4.77131271,-2.21305704,-1.62677717,3.15599012,-0.97214037,-1.14409661,0.29082301,11.40265083,-0.08092728,4.78665209,9.10009003,2.30162907,-0.54389656,-2.73782516,1.76798892,-3.01727509
-4.76783371,-2.20923829,-1.63738585,3.12890720,-0.96944207,-1.13108039,0.25537187,11.41612720,-0.10055155,4.75415182,9.08889484,2.24194288,-0.61590230,-2.73801184,1.76742578,-3.02183628
-4.76582050,-2.20496297,-1.66487801,3.13379478,-0.97143203,-1.12377381,0.14203672,11.33662224,-0.15269265,4.66356468,9.01290131,2.11734819,-0.73444116,-2.73301792,1.73123646,-3.03777027
-4.76768970,-2.21163344,-1.65040135,3.13159132,-0.98822290,-1.13606620,0.25011560,11.40491199,-0.10475937,4.77068424,9.08454895,2.30656409,-0.54274946,-2.73417401,1.80600524,-2.99998951
-4.76239347,-2.21571660,-1.61618996,3.19503546,-0.97846133,-1.15265536,0.33683011,11.44964409,-0.00243554,4.84293175,9.11823082,2.39238524,-0.50057656,-2.73719740,1.84136796,-2.97886348
-4.76030111,-2.20415711,-1.60017467,3.16041493,-1.01155329,-1.13500738,0.31491745,11.40044403,-0.04514974,4.81776142,9.05780506,2.32749128,-0.58289951,-2.72944307,1.79575050,-2.98858571
-4.76413679,-2.19775081,-1.64251316,3.08792996,-1.04337025,-1.12599170,0.21425742,11.31945515,-0.10217863,4.71976328,8.99390602,2.20204592,-0.70932245,-2.71751475,1.75102282,-3.01190066
-4.76649427,-2.19573259,-1.57852101,3.06187820,-1.07542658,-1.14782393,0.39430681,11.44057083,0.08144051,4.90705490,9.11430645,2.44155502,-0.48026147,-2.71481562,1.83608246,-2.97371221
-4.75860882,-2.19200611,-1.55767083,3.04091597,-1.07266986,-1.14758301,0.36619419,11.41630268,0.06555808,4.89240456,9.08715820,2.37753916,-0.53114259,-2.70695949,1.82200885,-3.00572586
-4.75394201,-2.18818974,-1.58368695,3.05342340,-1.05979407,-1.13426268,0.28749499,11.34115791,-0.03411412,4.80184412,9.02404404,2.23353052,-0.64267749,-2.69898081,1.79497337,-3.05724740
-4.76534510,-2.19439292,-1.63422275,3.00718260,-1.06847525,-1.11430871,0.15770312,11.20578384,-0.11809713,4.68160820,8.90248871,2.05842543,-0.78891057,-2.69806123,1.74065065,-3.13952684
-4.76502705,-2.19326329,-1.59218884,3.05262017,-1.08766103,-1.13399827,0.32999375,11.33700562,0.01142010,4.84278679,9.01625347,2.30741167,-0.50946957,-2.69938040,1.86290336,-3.13839865
-4.75984383,-2.17466354,-1.57857716,3.05198622,-1.12621748,-1.12827492,0.34900647,11.32803726,0.03159231,4.84163952,9.01736832,2.27496481,-0.56754798,-2.69539309,1.87762713,-3.07539034
-4.76781893,-2.17142344,-1.58926034,2.94222593,-1.17237878,-1.12490594,0.25270751,11.31726265,-0.04815793,4.79387474,8.97527599,2.13925767,-0.70389074,-2.69606686,1.80707955,-3.01341915
-4.77943802,-2.16176796,-1.61371660,2.89515948,-1.21658087,-1.13346946,0.15008721,11.23993587,-0.11319911,4.70584440,8.90498543,2.07681823,-0.74516046,-2.69963908,1.77181423,-2.98185730
-4.78477383,-2.12968302,-1.49325013,2.90543103,-1.28595936,-1.13622522,0.27532151,11.35441971,0.03204966,4.87699699,8.99413490,2.20436430,-0.69321537,-2.68943071,1.76798677,-3.02962971
