Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,-0.02576074,0.08575688,-0.09780893,-0.28410551,-0.01775862,0.18663485,0.08669829,0.09018283,0.14845999,0.03200341,0.07785885,0.03862789,0.10586839,-0.15857494,-0.00357952,-0.27941281,0.00000000,0.00000000,0.00000000,0,17:14:18.0,0,0
2,0.00000000,0.00000000,0.00000000,0.01053156,0.12245806,-0.07960150,-0.25988811,0.01204263,0.26017973,0.11499050,0.14997870,0.17517164,0.08090155,0.17522906,0.08804023,0.26945847,-0.08085370,0.01605022,-0.24223755,0.00000000,0.00000000,0.00000000,0,17:14:18.0,0,0
3,0.00000000,0.00000000,0.00000000,0.05783013,0.15274498,-0.05778708,-0.22936448,0.06142167,0.28320873,0.13730210,0.17969751,0.19747773,0.08751863,0.19544405,0.08998273,0.26753560,-0.08603524,0.00356185,-0.25544930,0.00000000,0.00000000,0.00000000,0,17:14:18.0,0,0
4,0.00000000,0.00000000,0.00000000,0.06584935,0.13752171,-0.08526629,-0.27629697,0.03825163,0.25566164,0.12096005,0.15077832,0.19133551,0.05013410,0.13776013,0.05479306,0.15909740,-0.13777700,-0.03899414,-0.29439551,0.00000000,0.00000000,0.00000000,0,17:14:18.0,0,0
5,0.00000000,0.00000000,0.00000000,0.07863421,0.07729514,-0.13922244,-0.35254920,-0.01632535,0.18955827,0.06795079,0.10327221,0.16127589,0.01184527,0.05787391,-0.00342210,0.00047619,-0.20477769,-0.08152778,-0.33623111,0.00000000,0.00000000,0.00000000,0,17:14:19.0,0,0
6,0.00000000,0.00000000,0.00000000,0.20846075,0.04852168,-0.10368752,-0.34015444,0.05491788,0.25536770,0.05891891,0.20970726,0.17343906,0.09148942,0.19650398,0.04689337,0.12688079,-0.09831703,-0.04945384,-0.26324850,0.00000000,0.00000000,0.00000000,0,17:14:19.0,0,0
7,0.00000000,0.00000000,0.00000000,0.23799291,0.04660580,-0.11053317,-0.36578387,0.07416169,0.23515271,0.05320970,0.21106201,0.17704587,0.04744085,0.20150675,0.01902586,0.06203277,-0.10970955,-0.09048171,-0.28626078,0.00000000,0.00000000,0.00000000,0,17:14:19.0,0,0
8,0.00000000,0.00000000,0.00000000,0.21197289,0.02062873,-0.15202244,-0.46814823,0.03819000,0.17638385,0.00223242,0.16527331,0.17029676,-0.03004009,0.15117806,-0.03541388,-0.06304675,-0.15685368,-0.14429677,-0.33242995,0.00000000,0.00000000,0.00000000,0,17:14:19.0,0,0
9,0.00000000,0.00000000,0.00000000,0.16735494,-0.01442395,-0.20980065,-0.54125619,-0.01496961,0.13055098,-0.02194749,0.13103056,0.15349326,-0.04438902,0.12338562,-0.04313973,-0.06229844,-0.14038765,-0.18321219,-0.33236998,0.00000000,0.00000000,0.00000000,0,17:14:19.0,0,0
10,0.00000000,0.00000000,0.00000000,0.22328234,0.06791528,-0.12990713,-0.44093651,0.06932825,0.22984087,0.05018586,0.20978843,0.20838679,0.01731500,0.22520095,0.00002538,0.05641529,-0.10627341,-0.17010684,-0.31821528,0.00000000,0.00000000,0.00000000,0,17:14:20.0,0,0
11,0.00000000,0.00000000,0.00000000,0.23307967,0.00883483,-0.10831315,-0.30630031,0.05813795,0.20179044,0.07600613,0.20077375,0.15734275,0.01929699,0.19152901,0.00666216,0.02737967,-0.13232800,-0.18028866,-0.35220441,0.00000000,0.00000000,0.00000000,0,17:14:20.0,0,0
12,0.00000000,0.00000000,0.00000000,0.12612647,-0.01315614,-0.16336215,-0.37964189,-0.01246023,0.14872278,0.05451460,0.12388054,0.12187481,-0.03052413,0.10027948,-0.01761198,-0.04559331,-0.20124757,-0.22893673,-0.42684147,0.00000000,0.00000000,0.00000000,0,17:14:20.0,0,0
13,0.00000000,0.00000000,0.00000000,0.11804421,0.03722201,-0.12672661,-0.33703512,0.03698609,0.24267778,0.10513091,0.19335322,0.17111686,0.02761966,0.21977019,0.05595835,0.16415855,-0.11285570,-0.19736174,-0.38433984,0.00000000,0.00000000,0.00000000,0,17:14:20.0,0,0
14,0.00000000,0.00000000,0.00000000,0.15759310,0.02396470,-0.10978501,-0.39020669,0.06234305,0.29528370,0.08956739,0.20983486,0.19259401,-0.00967772,0.24484207,0.07630021,0.15409954,-0.12544680,-0.24996118,-0.41361952,0.00000000,0.00000000,0.00000000,0,17:14:20.0,0,0
15,0.00000000,0.00000000,0.00000000,0.15272059,-0.08631551,-0.15801729,-0.45075583,0.08316722,0.20734932,-0.05026542,0.17261560,0.15685570,-0.09919664,0.19245622,0.01366151,-0.00170239,-0.18217295,-0.26519504,-0.37447876,0.00000000,0.00000000,0.00000000,0,17:14:21.0,0,0
16,0.00000000,0.00000000,0.00000000,0.14619291,-0.24210894,-0.23706296,-0.43099472,0.03643616,0.10672382,-0.20919879,0.15842243,0.10073407,-0.21306172,0.17365512,0.02721395,-0.04013878,-0.13798085,-0.30949965,-0.22591200,0.00000000,0.00000000,0.00000000,0,17:14:21.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00386067,-0.23869553,-0.14356774,-0.42278695,0.20105493,0.20630291,-0.24709398,0.22447652,0.17346722,-0.23633686,0.27641597,0.08200695,-0.00437370,-0.08228535,-0.29067492,-0.12417722,0.00000000,0.00000000,0.00000000,0,17:14:21.0,0,0
18,0.00000000,0.00000000,0.00000000,-0.03006386,-0.25055772,-0.11974686,-0.46870250,0.22888318,0.19982097,-0.26634231,0.23310731,0.20928231,-0.26997328,0.29852200,0.07275493,-0.08409727,-0.08167103,-0.29557484,-0.11702936,0.00000000,0.00000000,0.00000000,0,17:14:21.0,0,0
19,0.00000000,0.00000000,0.00000000,-0.15605427,-0.35174769,-0.13781984,-0.58271712,0.28050405,0.15683410,-0.28525349,0.24055417,0.22502375,-0.30636609,0.29720855,0.03828279,-0.21816909,-0.10886083,-0.29631943,-0.10153164,0.00000000,0.00000000,0.00000000,0,17:14:21.0,0,0
20,0.00000000,0.00000000,0.00000000,-0.15504748,-0.32923245,-0.05457921,-0.54238266,0.38195592,0.25223234,-0.22798741,0.33852503,0.29344469,-0.28818822,0.40975982,0.11636089,-0.12642282,-0.03174929,-0.24539530,-0.00583514,0.00000000,0.00000000,0.00000000,0,17:14:22.0,0,0
21,0.00000000,0.00000000,0.00000000,-0.07903010,-0.31672633,-0.04131718,-0.53256261,0.45020086,0.25691280,-0.15882592,0.39904070,0.32604411,-0.24333048,0.46699145,0.12200145,-0.11730957,-0.01941125,-0.23394427,0.01473586,0.00000000,0.00000000,0.00000000,0,17:14:22.0,0,0
22,0.00000000,0.00000000,0.00000000,-0.09118620,-0.31446147,-0.06583402,-0.56933010,0.44552243,0.21495543,-0.13550571,0.40047702,0.33210173,-0.20649865,0.45503730,0.08372095,-0.17612916,-0.04511296,-0.23732211,0.00997917,0.00000000,0.00000000,0.00000000,0,17:14:22.0,0,0
23,0.00000000,0.00000000,0.00000000,-0.09380576,-0.31172866,-0.09824773,-0.60807681,0.43454951,0.22923993,-0.10556865,0.43150681,0.35011873,-0.16920584,0.49064022,0.11837646,-0.10956581,-0.00358135,-0.21327358,0.04496482,0.00000000,0.00000000,0.00000000,0,17:14:22.0,0,0
24,0.00000000,0.00000000,0.00000000,-0.00667588,-0.23543881,-0.02338422,-0.50487375,0.51452136,0.28446653,-0.04882979,0.48949632,0.40806481,-0.11716988,0.56554979,0.13926861,-0.03394880,0.02438207,-0.18808165,0.06402986,0.00000000,0.00000000,0.00000000,0,17:14:22.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00215480,-0.24618664,-0.03436109,-0.52996629,0.49011570,0.27053875,-0.03822826,0.47971654,0.41803315,-0.09863149,0.55960763,0.11130464,-0.06849571,0.00354466,-0.20374168,0.03610656,0.00000000,0.00000000,0.00000000,0,17:14:23.0,0,0
26,0.00000000,0.00000000,0.00000000,-0.01664059,-0.26963842,-0.08036421,-0.59980321,0.43018371,0.22495563,-0.05784424,0.42989945,0.41499227,-0.12068976,0.50243360,0.07522644,-0.14800054,-0.04088669,-0.23597944,-0.00460300,0.00000000,0.00000000,0.00000000,0,17:14:23.0,0,0
27,0.00000000,0.00000000,0.00000000,0.03253473,-0.20904870,-0.02941415,-0.54617202,0.48244017,0.32504979,-0.03691785,0.49760583,0.45646164,-0.07679810,0.61426598,0.16355519,0.03139926,0.04511034,-0.19173394,0.07010245,0.00000000,0.00000000,0.00000000,0,17:14:23.0,0,0
28,0.00000000,0.00000000,0.00000000,0.02372368,-0.20420267,-0.03636694,-0.52999222,0.49783731,0.32246464,-0.02742010,0.51312804,0.47334993,-0.06215755,0.63330805,0.15809073,0.02618843,0.04166856,-0.19309482,0.07889079,0.00000000,0.00000000,0.00000000,0,17:14:23.0,0,0
29,0.00000000,0.00000000,0.00000000,-0.00368400,-0.22640195,-0.07741429,-0.58391958,0.45632654,0.27952760,-0.04310443,0.47963640,0.46033290,-0.07361239,0.59589279,0.12843004,-0.04593638,0.00846662,-0.20853290,0.05178713,0.00000000,0.00000000,0.00000000,0,17:14:23.0,0,0
30,0.00000000,0.00000000,0.00000000,-0.02080423,-0.25359476,-0.11059849,-0.61180276,0.41211715,0.27482855,-0.05741938,0.46908659,0.46026716,-0.08079808,0.59535968,0.15244041,-0.00756879,0.03660359,-0.20381126,0.08857524,0.00000000,0.00000000,0.00000000,0,17:14:24.0,0,0
