Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0,0,0,-0.08080306,-0.05860251,-0.03232157,-0.03143619,-0.05716045,0.05504355,0.00427007,0.01849021,0.0921716,0.03033775,0.0212708,-0.02328029,-0.0582011,0,-0.11326593,0,0,0,0,0,16:30.0,0,0
2,0,0,0,-0.10523982,-0.08412221,-0.06571956,-0.06521048,-0.079335,-0.01323406,-0.05399682,0.00938115,0.02059046,-0.00902927,0.01378638,-0.07240468,-0.09342977,0,-0.15981075,0,0,0,0,0,16:30.0,0,0
3,0,0,0,-0.14141104,-0.11334351,-0.10870177,-0.10615351,-0.10328174,-0.10144622,-0.12774809,-0.01157664,-0.06759768,-0.05184606,-0.00302936,-0.1267997,-0.12733373,0,-0.21643166,0,0,0,0,0,16:30.0,0,0
4,0,0,0,-0.0941572,-0.06687585,-0.01468842,-0.00870495,-0.06542199,0.09098505,0.02533043,0.01080525,0.13837112,0.04063445,0.02780318,0.00768272,-0.05980897,0,-0.10030081,0,0,0,0,0,16:31.0,0,0
5,0,0,0,-0.09234715,-0.05757215,-0.01370061,-0.00140744,-0.06260306,0.0949942,0.02943844,0.01127234,0.13901536,0.03820439,0.03283136,0.00323359,-0.05875428,0,-0.1183183,0,0,0,0,0,16:31.0,0,0
6,0,0,0,-0.1033724,-0.07277271,-0.03752696,-0.02466697,-0.07306781,0.03451358,-0.01912626,0.00364236,0.07759726,0.0083871,0.02886371,-0.03703796,-0.08103778,0,-0.15839909,0,0,0,0,0,16:31.0,0,0
7,0,0,0,-0.13200529,-0.10396884,-0.08097428,-0.069621,-0.09886962,-0.04263081,-0.09272387,-0.01157978,-0.00321905,-0.03120904,0.01689545,-0.0876252,-0.11528432,0,-0.20581116,0,0,0,0,0,16:31.0,0,0
8,0,0,0,-0.12466129,-0.09541798,-0.0507848,-0.0414012,-0.09424634,0.08493304,0.01003168,0.00363777,0.13593169,0.02078521,0.03087422,0.01178293,-0.07186319,0,-0.11298885,0,0,0,0,0,16:31.0,0,0
9,0,0,0,-0.08410987,-0.06019232,0.01169173,0.01869134,-0.07395614,0.12908423,0.03435846,0.0160265,0.17960308,0.05055784,0.0474394,0.03736255,-0.0481871,0,-0.11834857,0,0,0,0,0,16:32.0,0,0
10,0,0,0,-0.10217376,-0.07581215,-0.02214245,-0.00423235,-0.08249348,0.08980158,0.00438365,0.00982946,0.13631181,0.026112,0.04490339,0.01217038,-0.06410185,0,-0.14613153,0,0,0,0,0,16:32.0,0,0
11,0,0,0,-0.13506201,-0.10153516,-0.06996695,-0.05054753,-0.10313924,0.00175773,-0.06947184,-0.00778806,0.04679511,-0.01896691,0.02238113,-0.04409285,-0.09585854,0,-0.19669768,0,0,0,0,0,16:32.0,0,0
12,0,0,0,-0.16753605,-0.13225454,-0.1178421,-0.09325305,-0.12675305,-0.09663205,-0.14777981,-0.02487864,-0.05201171,-0.06477021,-0.00203092,-0.09779707,-0.13635857,0,-0.24571989,0,0,0,0,0,16:32.0,0,0
13,0,0,0,-0.111873,-0.07753168,-0.01486875,0.01139361,-0.08271272,0.10799478,0.01713054,-0.00165481,0.16738133,0.03103332,0.0344257,0.04516337,-0.06023486,0,-0.12115487,0,0,0,0,0,16:32.0,0,0
14,0,0,0,-0.10962579,-0.06721416,-0.00968214,0.01835397,-0.07360153,0.10575469,0.01522757,0.00268041,0.16006018,0.0316444,0.044471,0.04381242,-0.05466186,0,-0.13481911,0,0,0,0,0,16:33.0,0,0
15,0,0,0,-0.12447838,-0.07904582,-0.03807749,-0.0070076,-0.08385634,0.04176221,-0.03713461,-0.00258264,0.09238826,0.00410434,0.04096801,0.00667416,-0.07093452,0,-0.16125259,0,0,0,0,0,16:33.0,0,0
16,0,0,0,-0.29065892,-0.10946977,-0.11464687,-0.06886534,-0.0653166,-0.03163697,0.03284389,0.05675307,-0.00604176,-0.08219692,-0.03757627,0.04895098,-0.23613676,0,-0.16033311,0,0,0,0,0,16:33.0,0,0
17,0,0,0,-0.330917,-0.07017422,-0.2690801,-0.06363137,-0.07287035,0.0469074,-0.00384817,-0.0102193,0.12092095,-0.01900954,-0.02125103,0.08300348,-0.18719527,0,-0.07134486,0,0,0,0,0,16:33.0,0,0
18,0,0,0,-0.16349554,-0.03927024,-0.02799544,0.0333618,-0.07182149,0.11836742,0.04411642,0.02183611,0.17962146,0.05104792,0.05687407,0.08126835,-0.06587742,0,-0.13698101,0,0,0,0,0,16:33.0,0,0
